,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_active_size,Val_active_size,Test_active_size,Train_inactive_size,Val_inactive_size,Test_inactive_size,Train_indeterminate_size,Val_indeterminate_size,Test_indeterminate_size,Accuracy_Val,TP_val_0,TN_val_0,FP_val_0,FN_val_0,TP_val_1,TN_val_1,FP_val_1,FN_val_1,TP_val_2,TN_val_2,FP_val_2,FN_val_2,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,Precision_2_Val,Recall_2_Val,F1_Score_2_Val,AUC_output_0_Val,AUC_output_1_Val,AUC_output_2_Val,Log_Loss_Val,Accuracy_Test,TP_test_0,TN_test_0,FP_test_0,FN_test_0,TP_test_1,TN_test_1,FP_test_1,FN_test_1,TP_test_2,TN_test_2,FP_test_2,FN_test_2,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,Precision_2_Test,Recall_2_Test,F1 Score_2_Test,AUC_output_0_Test,AUC_output_1_Test,AUC_output_2_Test,Log_Loss_Test
10,Cytochrome_P450_26A1,morgan_fp,XGBClassifier_default,"{'base_score': [0.5], 'booster': ['gbtree'], 'colsample_bylevel': [1], 'colsample_bynode': [1], 'colsample_bytree': [1], 'gamma': [0], 'learning_rate': [0.1], 'max_delta_step': [0], 'max_depth': [3], 'min_child_weight': [1], 'missing': [None], 'n_estimators': [100], 'n_jobs': [1], 'nthread': [None], 'objective': ['binary:logistic'], 'random_state': [0], 'reg_alpha': [0], 'reg_lambda': [1], 'scale_pos_weight': [1], 'seed': [None], 'silent': [None], 'subsample': [1], 'verbosity': [1]}",0.036,149,103,23,23,78,18,18,7,1,1,18,4,4,0.870,18,2,3,0,1,22,0,0,1,19,0,3,0.527,0.857,1.000,0.923,1.000,1.000,1.000,1.000,0.250,0.400,0.700,1.000,0.625,0.373,0.739,15,3,2,3,0,22,0,1,2,15,4,2,0.307,0.882,0.833,0.857,0.000,0.000,0.000,0.333,0.500,0.400,0.717,0.500,0.645,0.601
11,Cytochrome_P450_26A1,morgan_fp,DummyClassifier_default,"{'constant': [None], 'random_state': [None], 'strategy': ['stratified']}",0.000,149,103,23,23,78,18,18,7,1,1,18,4,4,0.609,14,1,4,4,0,20,2,1,0,16,3,4,-0.084,0.778,0.778,0.778,0.000,0.000,0.000,0.000,0.000,0.000,0.489,0.455,0.421,18.020,0.696,15,1,4,3,0,22,0,1,1,16,3,3,0.058,0.789,0.833,0.811,0.000,0.000,0.000,0.250,0.250,0.250,0.517,0.500,0.546,13.515
12,Cytochrome_P450_26A1,morgan_fp,GaussianNB_default,"{'priors': [None], 'var_smoothing': [1e-09]}",0.000,149,103,23,23,78,18,18,7,1,1,18,4,4,0.870,18,2,3,0,1,22,0,0,1,19,0,3,0.527,0.857,1.000,0.923,1.000,1.000,1.000,1.000,0.250,0.400,0.700,1.000,0.625,4.505,0.826,16,4,1,2,0,22,0,1,3,16,3,1,0.538,0.941,0.889,0.914,0.000,0.000,0.000,0.500,0.750,0.600,0.844,0.500,0.796,6.007
13,Cytochrome_P450_26A1,morgan_fp,SVC_default,"{'C': [1.0], 'cache_size': [200], 'class_weight': [None], 'coef0': [0.0], 'decision_function_shape': ['ovr'], 'degree': [3], 'gamma': ['auto_deprecated'], 'kernel': ['rbf'], 'max_iter': [-1], 'probability': [True], 'random_state': [None], 'shrinking': [True], 'tol': [0.001], 'verbose': [False]}",0.001,149,103,23,23,78,18,18,7,1,1,18,4,4,0.783,18,0,5,0,0,22,0,1,0,19,0,4,0.000,0.783,1.000,0.878,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.500,0.415,0.783,18,0,5,0,0,22,0,1,0,19,0,4,0.000,0.783,1.000,0.878,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.500,0.480
14,Cytochrome_P450_26A1,morgan_fp,BaggingClassifier_default,"{'base_estimator': [None], 'bootstrap': [True], 'bootstrap_features': [False], 'max_features': [1.0], 'max_samples': [1.0], 'n_estimators': [10], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.001,149,103,23,23,78,18,18,7,1,1,18,4,4,0.826,17,2,3,1,1,22,0,0,1,18,1,3,0.425,0.850,0.944,0.895,1.000,1.000,1.000,0.500,0.250,0.333,0.672,1.000,0.599,0.329,0.739,14,4,1,4,0,22,0,1,3,14,5,1,0.392,0.933,0.778,0.848,0.000,0.000,0.000,0.375,0.750,0.500,0.789,0.500,0.743,0.516
15,Cytochrome_P450_26A1,morgan_fp,BernoulliNB_default,"{'alpha': [1.0], 'binarize': [0.0], 'class_prior': [None], 'fit_prior': [True]}",0.000,149,103,23,23,78,18,18,7,1,1,18,4,4,0.783,16,2,3,2,0,22,0,1,2,17,2,2,0.327,0.842,0.889,0.865,0.000,0.000,0.000,0.500,0.500,0.500,0.644,0.500,0.697,2.909,0.826,17,2,3,1,0,22,0,1,2,18,1,2,0.414,0.850,0.944,0.895,0.000,0.000,0.000,0.667,0.500,0.571,0.672,0.500,0.724,3.603
16,Cytochrome_P450_26A1,morgan_fp,ComplementNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True], 'norm': [False]}",0.000,149,103,23,23,78,18,18,7,1,1,18,4,4,0.826,16,3,2,2,1,22,0,0,2,17,2,2,0.511,0.889,0.889,0.889,1.000,1.000,1.000,0.500,0.500,0.500,0.744,1.000,0.697,1.778,0.783,16,3,2,2,0,21,1,1,2,17,2,2,0.388,0.889,0.889,0.889,0.000,0.000,0.000,0.500,0.500,0.500,0.744,0.477,0.697,1.703
17,Cytochrome_P450_26A1,morgan_fp,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.001,149,103,23,23,78,18,18,7,1,1,18,4,4,0.739,16,1,4,2,1,22,0,0,0,17,2,4,0.138,0.800,0.889,0.842,1.000,1.000,1.000,0.000,0.000,0.000,0.544,1.000,0.447,0.429,0.783,16,2,3,2,0,22,0,1,2,17,2,2,0.327,0.842,0.889,0.865,0.000,0.000,0.000,0.500,0.500,0.500,0.644,0.500,0.697,0.519
18,Cytochrome_P450_26A1,morgan_fp,GaussianProcessClassifier_default,"{'copy_X_train': [True], 'kernel': [None], 'max_iter_predict': [100], 'multi_class': ['one_vs_rest'], 'n_jobs': [None], 'n_restarts_optimizer': [0], 'optimizer': ['fmin_l_bfgs_b'], 'random_state': [None], 'warm_start': [False]}",0.002,149,103,23,23,78,18,18,7,1,1,18,4,4,0.696,14,2,3,4,1,22,0,0,1,15,4,3,0.203,0.824,0.778,0.800,1.000,1.000,1.000,0.200,0.250,0.222,0.589,1.000,0.520,1.095,0.739,14,4,1,4,0,22,0,1,3,14,5,1,0.392,0.933,0.778,0.848,0.000,0.000,0.000,0.375,0.750,0.500,0.789,0.500,0.743,1.093
19,Cytochrome_P450_26A1,morgan_fp,HistGradientBoostingClassifier_default,"{'l2_regularization': [0.0], 'learning_rate': [0.1], 'loss': ['auto'], 'max_bins': [256], 'max_depth': [None], 'max_iter': [100], 'max_leaf_nodes': [31], 'min_samples_leaf': [20], 'n_iter_no_change': [None], 'random_state': [None], 'scoring': [None], 'tol': [1e-07], 'validation_fraction': [0.1], 'verbose': [0]}",0.084,149,103,23,23,78,18,18,7,1,1,18,4,4,0.870,18,2,3,0,1,22,0,0,1,19,0,3,0.527,0.857,1.000,0.923,1.000,1.000,1.000,1.000,0.250,0.400,0.700,1.000,0.625,0.406,0.826,15,4,1,3,1,22,0,0,3,16,3,1,0.574,0.938,0.833,0.882,1.000,1.000,1.000,0.500,0.750,0.600,0.817,1.000,0.796,0.562
