,Molregno IDs having no smiles
538,1311339
539,1417836
540,1417837
541,1417840
542,1417841
543,1417839
544,1417843
545,1417844
546,1417842
547,1417838
548,1417847
549,1417848
550,1417849
551,1417850
552,1417851
553,1417852
554,1311355
555,1417853
556,1417855
557,1417854
558,1417857
559,1417856
560,1417858
561,1417860
562,1417859
563,1417862
564,1294983
565,1417863
566,1417865
567,1417864
568,1417867
569,1417868
570,262796
571,262797
572,262798
573,1417869
574,1417871
575,1417870
576,1294995
577,1417872
578,1286805
579,33425
580,1417879
581,1417874
582,1417877
583,1417873
584,1417875
585,1417876
586,1286813
587,1016470
588,819871
589,1417884
590,1417889
591,1417890
592,1417891
593,1417892
594,1417893
595,1417894
596,1417895
597,1417896
598,1417897
599,1417898
600,1417899
601,1417900
602,1417901
603,1417902
604,1417903
605,1417904
606,1303211
607,262834
608,1417906
609,1417907
610,1417909
611,1417910
612,1417908
613,1417911
614,1417913
615,1417914
616,1417915
617,1311420
618,1417916
619,1417918
620,1417917
621,1417919
622,1417921
623,1417922
624,1417920
625,1417924
626,1417925
627,1417926
628,1417927
629,1295047
630,1417929
631,1417928
632,1417930
633,1417932
634,1417933
635,1417934
636,1417931
637,1417936
638,1417937
639,1417938
640,1417939
641,1319636
642,1417941
643,1417942
644,1417935
645,1417944
646,1311449
647,1417945
648,1286875
649,1417947
650,1417949
651,1417946
652,1417951
653,1417943
654,1417953
655,1417954
656,1417948
657,1417956
658,1417957
659,1295078
660,1417958
661,1417960
662,1417961
663,1417962
664,1417959
665,1417955
666,1417965
667,1417966
668,1417967
669,1417968
670,1417969
671,1417970
672,1417971
673,1417972
674,1417973
675,1417974
676,1295090
677,1303288
678,1327866
679,2255241
680,1417980
681,836349
682,1327870
683,1417983
684,1417984
685,1417981
686,1319682
687,1319685
688,1286917
689,773
690,774
691,320261
692,1319690
693,779
694,780
695,778
696,1417993
697,1295119
698,1311504
699,1417995
700,1417996
701,1417999
702,1417997
703,1418001
704,1303318
705,1417998
706,1286936
707,1418004
708,1418010
709,1418003
710,1418007
711,1418006
712,1418005
713,1418009
714,2255247
715,1418017
716,1418018
717,1418019
718,74530
719,1418021
720,74529
721,2138917
722,2255249
723,1418025
724,1418026
725,2255250
726,1418028
727,1286957
728,1221329
729,2255251
730,2255252
731,1303352
732,827
733,131903
734,2255255
735,1286977
736,1311553
737,1303364
738,836
739,2255256
740,2255257
741,1295179
742,843
743,1295181
744,738125
745,2255258
746,164690
747,983896
748,361307
749,361308
750,2255261
751,1295201
752,1303401
753,1303403
754,1327988
755,910198
756,1295223
757,1327992
758,889
759,1319804
760,295804
761,918397
762,895
763,1311621
764,1311622
765,975750
766,115592
767,1295241
768,904
769,320394
770,320395
771,861070
772,915
773,918500
774,1295253
775,2196375
776,1303448
777,1418136
778,1287066
779,1418139
780,1295260
781,1418140
782,1418141
783,1418142
784,1418143
785,1418145
786,1418144
787,1418147
788,1295268
789,1418146
790,1319847
791,1418152
792,1418153
793,1418154
794,1418155
795,1418156
796,1319851
797,1418157
798,1418158
799,115624
800,1418161
801,1418162
802,1295283
803,1418163
804,1418164
805,1418166
806,1418167
807,1418168
808,1319864
809,1418165
810,1418171
811,1418169
812,1418170
813,1418173
814,1418174
815,1418176
816,1418177
817,1418175
818,1418179
819,1418178
820,1418181
821,1418182
822,1418183
823,1418184
824,1418185
825,1418186
826,1418187
827,1303500
828,1418189
829,1418188
830,1418191
831,1418190
832,1418193
833,1418194
834,1418195
835,1295314
836,1418196
837,1418198
838,1418199
839,1418200
840,1418192
841,1418197
842,1418203
843,1418204
844,1418205
845,1418206
846,1418207
847,1418208
848,1418209
849,1418210
850,1418211
851,1287140
852,1418212
853,1418214
854,1418215
855,1418216
856,1418217
857,1418218
858,1418219
859,1418220
860,1418221
861,1418222
862,1418223
863,1418224
864,1418225
865,1418226
866,1418227
867,1418228
868,1418229
869,1418230
870,1418231
871,1418232
872,1418233
873,1418234
874,1418235
875,1418236
876,1418237
877,1418238
878,1418239
879,1418240
880,263169
881,1418241
882,1418242
883,1311748
884,1418244
885,1418243
886,1311751
887,50183
888,2106376
889,320523
890,918541
891,1590286
892,1311766
893,1303578
894,2073628
895,2073629
896,1287198
897,263199
898,2139170
899,320548
900,320549
901,50218
902,1295410
903,2253877
904,1311799
905,1303608
906,1311804
907,1287234
908,1328194
909,1295431
910,820296
911,218
912,1287242
913,1311819
914,50252
915,1287245
916,1295438
917,50253
918,42058
919,828491
920,220
921,1303637
922,1112
923,1303642
924,1287259
925,1328225
926,779363
927,2245732
928,2245733
929,2245734
930,296037
931,83048
932,296041
933,1328234
934,296040
935,296044
936,1295469
937,296046
938,1311855
939,1295472
940,50288
941,296048
942,296047
943,1287284
944,296050
945,296045
946,738419
947,2253939
948,1328249
949,926844
950,1149
951,992389
952,1320071
953,1303687
954,107660
955,296083
956,853159
957,1287339
958,820401
959,2245559
960,50366
961,50367
962,1320128
963,738498
964,1295555
965,1287363
966,1311945
967,1311947
968,1287376
969,1303760
970,1320146
971,287957
972,1303766
973,1311967
974,1287392
975,1295588
976,910576
977,2221298
978,1311998
979,1320198
980,1295623
981,1320199
982,1295625
983,296202
984,296203
985,869644
986,263445
987,263446
988,738582
989,1295640
990,779544
991,1287455
992,1582367
993,984355
994,1032556
995,320815
996,205420
997,1295665
998,1295666
999,1312059
1000,50492
1001,50493
1002,1295679
1003,1320255
1004,1328448
1005,1312067
1006,1320259
1007,1295693
1008,2131277
1009,1328466
1010,320850
1011,1017175
1012,1303907
1013,1287524
1014,869731
1015,50537
1016,1303915
1017,1320301
1018,836975
1019,1295732
1020,1017207
1021,1320313
1022,1328507
1023,296316
1024,107901
1025,1033598
1026,1303948
1027,1312142
1028,1328528
1029,1295761
1030,755093
1031,2172310
1032,738719
1033,738720
1034,951720
1035,1328553
1036,738736
1037,976304
1038,1303990
1039,1312187
1040,2164159
1041,1320385
1042,50627
1043,1328582
1044,50633
1045,820684
1046,50639
1047,1320400
1048,1312215
1049,1017307
1050,1246697
1051,992746
1052,1328619
1053,1328624
1054,1312241
1055,1287666
1056,1312248
1057,2113738
1058,50683
1059,50685
1060,1320446
1061,1328642
1062,116229
1063,116230
1064,1295882
1065,1295884
1066,1312273
1067,1312278
1068,1328662
1069,1287704
1070,1533464
1071,1320477
1072,1328677
1073,116269
1074,1304113
1075,1295921
1076,1287735
1077,1312313
1078,1304121
1079,2139707
1080,1312316
1081,50750
1082,1320511
1083,820800
1084,1312326
1085,1017419
1086,1328717
1087,116305
1088,116306
1089,910931
1090,1304152
1091,1107545
1092,1312350
1093,1312353
1094,99939
1095,1328740
1096,935528
1097,1328746
1098,730731
1099,910955
1100,108141
1101,116338
1102,1312371
1103,1304180
1104,116339
1105,50809
1106,2074242
1107,1926791
1108,50823
1109,50825
1110,1296010
1111,50824
1112,99976
1113,321170
1114,321171
1115,116372
1116,116373
1117,321172
1118,1304218
1119,1304219
1120,1017505
1121,829091
1122,50854
1123,50855
1124,1320617
1125,1312426
1126,1312430
1127,2205365
1128,2221751
1129,50872
1130,116412
1131,1312446
1132,1312450
1133,1017539
1134,1353411
1135,1312453
1136,1353412
1137,1353414
1138,870088
1139,1337033
1140,1337034
1141,1353416
1142,1353417
1143,1353420
1144,1304270
1145,1296079
1146,2246352
1147,1353424
1148,1353425
1149,1312467
1150,1353423
1151,1353421
1152,1312470
1153,845526
1154,1926871
1155,1328859
1156,108251
1157,1320672
1158,1312481
1159,2156263
1160,1296122
1161,247548
1162,108288
1163,1328898
1164,1304322
1165,108296
1166,1304331
1167,1353413
1168,1402641
1169,1296149
1170,1304341
1171,1353415
1172,2074395
1173,2074396
1174,1287968
1175,50978
1176,1304354
1177,108328
1178,1353418
1179,1296170
1180,1017642
1181,1632044
1182,1287981
1183,1632045
1184,1353419
1185,1287986
1186,1312563
1187,1353422
1188,51011
1189,1320774
1190,108361
1191,1288010
1192,698186
1193,878419
1194,1288020
1195,1288022
1196,1050468
1197,1050470
1198,1050471
1199,1050472
1200,812902
1201,1312622
1202,51055
1203,51054
1204,2071479
1205,452466
1206,1369973
1207,247671
1208,1369978
1209,1369982
1210,1296257
1211,1247110
1212,1083272
1213,1288082
1214,1304468
1215,1312661
1216,1304472
1217,1288088
1218,247704
1219,2246553
1220,1304480
1221,305067
1222,305068
1223,983487
1224,1296303
1225,1304496
1226,1370030
1227,305075
1228,305076
1229,1320888
1230,1924953
1231,1924954
1232,321472
1233,1924955
1234,1304515
1235,1312710
1236,1304519
1237,1632198
1238,1632199
1239,1320906
1240,1632202
1241,305100
1242,1296333
1243,305101
1244,1632201
1245,1304528
1246,1304529
1247,886737
1248,2246609
1249,1924957
1250,1924958
1251,305111
1252,305117
1253,1312734
1254,1845213
1255,1312736
1256,1845217
1257,1845218
1258,1304547
1259,1845219
1260,1845214
1261,1924961
1262,1924962
1263,1017833
1264,1312746
1265,976876
1266,819400
1267,1304560
1268,305137
1269,305138
1270,2246640
1271,1304566
1272,264182
1273,583672
1274,1091579
1275,1050620
1276,1304573
1277,1304574
1278,1050622
1279,1296384
1280,1050625
1281,1050624
1282,1296387
1283,1050628
1284,1050629
1285,305157
1286,1304583
1287,608263
1288,1050631
1289,305165
1290,1296398
1291,1386510
1292,2115598
1293,1320979
1294,1312788
1295,911381
1296,1296406
1297,1288220
1298,2164765
1299,1320994
1300,747769
1301,1288230
1302,1304615
1303,739369
1304,1296427
1305,985136
1306,1304628
1307,313398
1308,313400
1309,1296452
1310,1288263
1311,1312841
1312,1304650
1313,51274
1314,960589
1315,1312854
1316,944215
1317,780376
1318,2230363
1319,1304673
1320,2189414
1321,1312885
1322,2140288
1323,780420
1324,1116295
1325,1312904
1326,1091722
1327,1288333
1328,1304719
1329,821397
1330,1288342
1331,1239193
1332,1304743
1333,1296557
1334,108720
1335,977083
1336,1016061
1337,1034431
1338,1312968
1339,2255052
1340,2255053
1341,2255054
1342,2255055
1343,2255056
1344,2255057
1345,2255058
1346,1304787
1347,1050836
1348,2255059
1349,2255061
1350,2255063
1351,1050840
1352,2255064
1353,2255065
1354,2255066
1355,2255060
1356,2255062
1357,2255067
1358,2255071
1359,2255072
1360,1296609
1361,2255073
1362,2255074
1363,2255075
1364,2255076
1365,2255069
1366,2255077
1367,2255078
1368,1288425
1369,2164969
1370,2255083
1371,2255082
1372,2255085
1373,2255086
1374,248047
1375,248048
1376,821489
1377,2255087
1378,608499
1379,1288436
1380,608501
1381,608502
1382,608503
1383,1296630
1384,608504
1385,108794
1386,608500
1387,2255099
1388,2255097
1389,1296638
1390,2255100
1391,2255102
1392,608513
1393,608514
1394,608515
1395,608516
1396,608517
1397,608518
1398,608519
1399,608520
1400,1050884
1401,1673473
1402,2255111
1403,2255107
1404,2255108
1405,1321230
1406,2255118
1407,2255119
1408,2255120
1409,2255121
1410,2255122
1411,608532
1412,608533
1413,2255124
1414,1296663
1415,2255126
1416,2255128
1417,2255129
1418,2255130
1419,108828
1420,1313053
1421,1304861
1422,108829
1423,2099485
1424,1313057
1425,1288481
1426,2255131
1427,2255132
1428,2255133
