,Molregno IDs having no smiles
2209,1298696
2210,1020166
2211,1323277
2212,1290514
2213,1315091
2214,1417424
2215,1315096
2216,291097
2217,217372
2218,1306910
2219,1417426
2220,2150690
2221,954667
2222,168238
2223,1290542
2224,2249011
2225,2255177
2226,1417430
2227,1306934
2228,315707
2229,217403
2230,1290565
2231,1315141
2232,1290573
2233,1298766
2234,1290581
2235,1306973
2236,938334
2237,1417439
2238,1306979
2239,1298791
2240,1417440
2241,1417441
2242,1290609
2243,1315186
2244,1417443
2245,1036664
2246,1380729
2247,1315194
2248,758142
2249,1315202
2250,1417446
2251,897414
2252,1323402
2253,1295330
2254,1417447
2255,586125
2256,1331599
2257,1417449
2258,168363
2259,168364
2260,168365
2261,2255182
2262,651705
2263,1298878
2264,1298883
2265,938437
2266,938438
2267,913866
2268,1417460
2269,741836
2270,1298894
2271,831951
2272,1417461
2273,897492
2274,1323484
2275,1290717
2276,1704032
2277,1315304
2278,1417466
2279,1323505
2280,1094134
2281,1323515
2282,1323518
2283,1417470
2284,1417471
2285,1298953
2286,1417472
2287,1298956
2288,1323535
2289,1315344
2290,1298960
2291,1323542
2292,2140407
2293,1028638
2294,1315364
2295,1323558
2296,1192488
2297,2255187
2298,1536559
2299,1315378
2300,1417483
2301,168513
2302,1307204
2303,1307205
2304,1290824
2305,2175560
2306,1417485
2307,168523
2308,168524
2309,168525
2310,1299021
2311,1290835
2312,2142806
2313,1299031
2314,168537
2315,1086041
2316,1307237
2317,1307239
2318,1417491
2319,1299049
2320,1315434
2321,873068
2322,1290861
2323,1417492
2324,1299063
2325,316024
2326,1417495
2327,1380990
2328,2161594
2329,1307266
2330,324227
2331,1323652
2332,1290885
2333,742019
2334,1299081
2335,742028
2336,1323661
2337,1307290
2338,1417501
2339,1307293
2340,938653
2341,2249376
2342,242342
2343,1299111
2344,1417504
2345,1299117
2346,135858
2347,1417506
2348,783032
2349,938680
2350,2118329
2351,2255193
2352,1315526
2353,958
2354,86742
2355,1307351
2356,316119
2357,86743
2358,2255194
2359,832223
2360,1290976
2361,938723
2362,1417516
2363,873194
2364,1315576
2365,1417520
2366,865028
2367,1323781
2368,1291015
2369,1299211
2370,1100021
2371,1299225
2372,914203
2373,938784
2374,1315618
2375,2255197
2376,1307433
2377,193322
2378,193323
2379,193325
2380,37679
2381,1315632
2382,1417531
2383,1323826
2384,13107
2385,742192
2386,1315637
2387,1323829
2388,176953
2389,217914
2390,1012539
2391,217913
2392,1315645
2393,2175803
2394,2255198
2395,1299266
2396,263124
2397,1417535
2398,1037128
2399,955208
2400,865098
2401,1307475
2402,37721
2403,37725
2404,1323871
2405,2171408
2406,1307492
2407,168809
2408,1307502
2409,1102706
2410,897912
2411,177017
2412,283520
2413,1307521
2414,37762
2415,1323907
2416,45956
2417,1307527
2418,1315721
2419,1307530
2420,897929
2421,1923926
2422,168845
2423,168846
2424,168847
2425,1323918
2426,1323920
2427,1923927
2428,1923928
2429,2249621
2430,997
2431,906138
2432,1291167
2433,1291171
2434,1299363
2435,1299364
2436,1323942
2437,1417554
2438,1417555
2439,242604
2440,177071
2441,955313
2442,1307572
2443,1291190
2444,1315766
2445,1323962
2446,1315772
2447,1417560
2448,1417561
2449,1029065
2450,1299403
2451,1291235
2452,1324003
2453,177123
2454,1086440
2455,938986
2456,1291243
2457,1315822
2458,2192368
2459,1417569
2460,300022
2461,37883
2462,37884
2463,1291261
2464,1340418
2465,1315844
2466,1324037
2467,1340420
2468,1340421
2469,87048
2470,1217544
2471,832522
2472,1088672
2473,2255206
2474,1417575
2475,898063
2476,1823763
2477,1823764
2478,1823765
2479,1307670
2480,103446
2481,37913
2482,1315866
2483,1291307
2484,1512500
2485,783414
2486,1512503
2487,1152056
2488,1512505
2489,2255208
2490,1340481
2491,1417585
2492,1291331
2493,758849
2494,1315909
2495,1315910
2496,1299528
2497,1324105
2498,87120
2499,1417588
2500,1102930
2501,1307736
2502,1340506
2503,1417590
2504,1029215
2505,1324134
2506,1291367
2507,1111146
2508,1094763
2509,1315950
2510,1417594
2511,1299571
2512,1307767
2513,177272
2514,177273
2515,177274
2516,1086584
2517,1324160
2518,1291392
2519,1291396
2520,799877
2521,521353
2522,1299597
2523,46222
2524,1340559
2525,1315983
2526,1417600
2527,1299602
2528,177298
2529,521359
2530,1324182
2531,1417604
2532,1316005
2533,1417605
2534,1324199
2535,1316009
2536,1417606
2537,1417607
2538,898226
2539,46260
2540,1291449
2541,1324218
2542,2255213
2543,5310
2544,1316034
2545,1417613
2546,1299669
2547,1417615
2548,901469
2549,177377
2550,1417617
2551,1417618
2552,1316073
2553,5354
2554,2151661
2555,1307886
2556,1299697
2557,1307890
2558,1291506
2559,1417620
2560,1086708
2561,1817566
2562,1307898
2563,1417622
2564,816381
2565,1291522
2566,177414
2567,1924002
2568,1340681
2569,1924003
2570,1316111
2571,1299730
2572,1291538
2573,1417627
2574,1299734
2575,1417628
2576,177437
2577,1299745
2578,955681
2579,1417630
2580,1924007
2581,1291558
2582,177447
2583,177448
2584,1307945
2585,857383
2586,1924009
2587,1291564
2588,1340717
2589,947502
2590,857388
2591,1924010
2592,1627439
2593,1307954
2594,1627440
2595,1924011
2596,1417634
2597,2255218
2598,1307964
2599,832830
2600,1340738
2601,2184517
2602,857415
2603,1299789
2604,1316178
2605,2255219
2606,613299
2607,243045
2608,613301
2609,1316202
2610,1308011
2611,742763
2612,1417644
2613,1512815
2614,1417645
2615,1092001
2616,939380
2617,1417646
2618,1004918
2619,1417647
2620,873858
2621,2250115
2622,2255221
2623,177543
2624,877082
2625,1299864
2626,2192792
2627,1340827
2628,320231
2629,2127259
2630,2135457
2631,1417656
2632,1299882
2633,1417657
2634,153006
2635,1417658
2636,243124
2637,1417659
2638,1308086
2639,1324471
2640,890293
2641,1417660
2642,1417661
2643,1417662
2644,1299909
2645,792005
2646,1417663
2647,1316298
2648,1417664
2649,1299920
2650,1291730
2651,1324499
2652,1417665
2653,857557
2654,1417667
2655,2184672
2656,1226209
2657,1417668
2658,1316324
2659,2179677
2660,1324518
2661,1924047
2662,1417670
2663,1316334
2664,1924049
2665,1417672
2666,1924050
2667,1417673
2668,849404
2669,1924051
2670,1308161
2671,1316355
2672,972291
2673,1924052
2674,1299974
2675,1417675
2676,1924054
2677,1417677
2678,1316371
2679,939539
2680,1417678
2681,226851
2682,1417681
2683,1324583
2684,833063
2685,1300011
2686,751147
2687,1417683
2688,1417684
2689,1291837
2690,1324607
2691,1308229
2692,1291851
2693,300625
2694,1300056
2695,1324635
2696,1324636
2697,1316449
2698,2233954
2699,1417694
2700,1308265
2701,726635
2702,1316462
2703,1417696
2704,46709
2705,1417697
2706,1316472
2707,1300090
2708,980604
2709,1108336
2710,939649
2711,1417700
2712,1087110
2713,1417701
2714,1021578
2715,1324684
2716,1218189
2717,1417702
2718,74418
2719,1417703
2720,317076
2721,915092
2722,1308316
2723,2255232
2724,1308318
2725,1308323
2726,1308326
2727,1300134
2728,2143917
2729,2119343
2730,1324725
2731,1308342
2732,1308343
2733,1308341
2734,14007
2735,308917
2736,308918
2737,308919
2738,2255233
2739,726719
2740,1291982
2741,1417715
2742,2255234
2743,1417716
2744,1734362
2745,1734363
2746,1734364
2747,1734365
2748,1300190
2749,1734366
2750,1734367
2751,2255235
2752,1292010
2753,1316599
2754,956156
2755,2255236
2756,1308420
2757,1292038
2758,1087240
2759,210702
2760,5903
2761,866066
2762,877159
2763,2255237
2764,1316640
2765,1417731
2766,857894
2767,1308456
2768,1417733
2769,1300267
2770,1300268
2771,857901
2772,939822
2773,2255238
2774,1300278
2775,74452
2776,1316670
2777,1316671
2778,1417737
2779,1308489
2780,1316681
2781,74455
2782,1417740
2783,194382
2784,1324879
2785,194383
2786,1324881
2787,1300318
2788,1308510
2789,1308512
2790,1417745
2791,1308521
2792,860894
2793,1316718
2794,161649
2795,1300339
2796,1300340
2797,1300341
2798,896718
2799,2111385
2800,1308575
2801,1292192
2802,1628064
2803,1300391
2804,931754
2805,1341360
2806,1300407
2807,1417763
2808,1300419
2809,1417764
2810,1316818
2811,1013715
2812,1316821
2813,608540
2814,194527
2815,1316837
2816,1013734
2817,1417771
2818,1417772
2819,1300464
2820,743410
2821,2193398
2822,1021947
2823,2103293
2824,1417776
2825,194562
2826,1300484
2827,1538056
2828,972810
2829,784399
2830,784401
2831,1417780
2832,1308696
2833,292888
2834,1316893
2835,1308701
2836,1417782
2837,1417783
2838,784422
2839,1417784
2840,1292333
2841,1417785
2842,2160699
2843,1308735
2844,186440
2845,1292361
2846,186441
2847,1996874
2848,882764
2849,1292366
2850,858190
2851,1325136
2852,1316945
2853,1325138
2854,1300565
2855,153688
2856,1325154
2857,1325155
2858,1013858
2859,1316965
2860,1316967
2861,1308778
2862,1308783
2863,1308784
2864,1013874
2865,1300596
2866,1292407
2867,1300603
2868,874620
2869,153727
2870,153728
2871,186499
2872,948356
2873,2250884
2874,153738
2875,1308819
2876,1417805
2877,186517
2878,1308827
2879,1308831
2880,1235104
2881,1300642
2882,1308834
2883,41960
2884,1300660
2885,1292470
2886,809145
2887,1300670
2888,1120479
2889,1308908
2890,1325292
2891,866540
2892,317677
2893,866541
2894,2187973
2895,1292531
2896,899317
2897,1325306
2898,1300730
2899,2152706
2900,1317125
2901,1300743
2902,50121
2903,194828
2904,1300751
2905,1292565
2906,874779
2907,858400
2908,1300769
2909,1120545
2910,1308964
2911,899365
2912,1300774
2913,997671
2914,899366
2915,1300779
2916,1325360
2917,1308977
2918,1308978
2919,2147281
2920,1292597
2921,162103
2922,162104
2923,989503
2924,1308994
2925,1382734
2926,1309009
2927,153940
2928,1309014
2929,39254
2930,39255
2931,1325404
2932,1417845
2933,1417846
2934,1309032
2935,743786
2936,2169200
2937,39282
2938,342387
2939,39288
2940,1309049
2941,1300859
2942,39294
2943,39295
2944,1382791
2945,1382792
2946,317835
2947,1382796
2948,1382797
2949,317838
2950,1325455
2951,1300879
2952,317842
2953,1325459
2954,1407380
2955,1317275
2956,1300893
2957,915869
2958,39327
2959,1292707
2960,317861
2961,1120678
2962,1022379
2963,1417861
2964,1300921
2965,1325498
2966,107145
2967,1292742
2968,1417866
2969,1309128
2970,195017
2971,22986
2972,195018
2973,22988
2974,39367
2975,1325528
2976,858595
2977,1325542
2978,743914
2979,50166
2980,1292783
2981,317936
2982,50167
2983,1924253
2984,50168
2985,866810
2986,39420
2987,317949
2988,1120765
2989,1014271
2990,39421
2991,1317378
2992,1417878
2993,2128386
2994,2155464
2995,1417880
2996,1309198
2997,588304
2998,1417881
2999,1292819
3000,1317398
3001,1417882
3002,154136
3003,1417883
3004,317983
3005,743967
3006,1325601
3007,296038
3008,154147
3009,317987
3010,1417885
3011,296039
3012,1417886
3013,1417887
3014,834098
3015,793141
3016,1417888
3017,154168
3018,318008
3019,318014
3020,1120831
3021,154179
3022,1301060
3023,1317445
3024,2161226
3025,2128461
3026,1325648
3027,1120853
3028,1317464
3029,1317469
3030,1325661
3031,113247
3032,195168
3033,2169438
3034,1325674
3035,1317497
3036,1309308
3037,1243775
3038,1292929
3039,107183
3040,1317507
3041,1301127
3042,989831
3043,1317513
3044,1417905
3045,39568
3046,1292945
3047,1120913
3048,899732
3049,1325717
3050,318101
3051,2120342
3052,2103956
3053,320486
3054,1317540
3055,1309351
3056,998058
3057,1417912
3058,1317551
3059,1292975
3060,187057
3061,891570
3062,318128
3063,318132
3064,1301173
3065,39600
3066,1301179
3067,1317564
3068,1309373
3069,1309374
3070,1317577
3071,318159
3072,752340
3073,998105
3074,1358554
3075,1301211
3076,826074
3077,107202
3078,1120994
3079,1417923
3080,1358567
3081,1358568
3082,1358569
3083,1358570
3084,1358571
3085,1358572
3086,39659
3087,1317616
3088,1293041
3089,1325810
3090,1293042
3091,1153778
3092,318197
3093,1153779
3094,1153781
3095,1153782
3096,1153783
3097,1301242
3098,1325818
3099,1358588
3100,1121024
3101,318210
3102,1325829
3103,1358600
3104,1317642
3105,1358602
3106,1358603
3107,1358605
3108,1358606
3109,1358607
3110,1358608
3111,1358609
3112,981777
3113,1014546
3114,178958
3115,1981204
3116,1981203
3117,1293079
3118,1358615
3119,1358616
3120,1358618
3121,1358619
3122,1358617
3123,1358621
3124,1121048
3125,1358624
3126,1358626
3127,1358627
3128,1358628
3129,1358629
3130,1358630
3131,1358631
3132,1325864
3133,1358633
3134,1923881
3135,1923882
3136,1923883
3137,817964
3138,1923880
3139,1309487
3140,1358640
3141,1301297
3142,1358643
3143,1358644
3144,1358645
3145,1358646
3146,1309495
3147,867125
3148,1121080
3149,940853
3150,1317691
3151,1417940
3152,1309500
3153,1030981
3154,1309510
3155,1358663
3156,744264
3157,1923910
3158,1923911
3159,1923912
3160,1923913
3161,1923915
3162,1923916
3163,1923917
3164,1358672
3165,1358673
3166,1358674
3167,1358675
3168,1923918
3169,1923919
3170,1121110
3171,1080150
3172,1923920
3173,1923921
3174,1923922
3175,1923923
3176,1923924
3177,1923925
3178,1358686
3179,752478
3180,39776
3181,39775
3182,1358690
3183,39774
3184,1293157
3185,744293
3186,858982
3187,1417950
3188,1358702
3189,1358704
3190,1358705
3191,1358707
3192,1358708
3193,1358709
3194,1358710
3195,1358711
3196,1417952
3197,1325945
3198,1358713
3199,818036
3200,801660
3201,1358719
3202,1301376
3203,1358721
3204,1358724
3205,1358725
3206,1358726
3207,1301389
3208,1325966
3209,1358733
3210,2210702
3211,1235857
3212,1293203
3213,1301396
3214,1358744
3215,2120600
3216,1317787
3217,744347
3218,1301405
3219,1923997
3220,1923998
3221,1923999
3222,1301409
3223,1924000
3224,1924001
3225,1358756
3226,1924004
3227,1358758
3228,1924005
3229,1924006
3230,1358761
3231,1924008
3232,1358763
3233,1309612
3234,859052
3235,1358766
3236,1417963
3237,1358768
3238,1358767
3239,1924016
3240,1924017
3241,1417964
3242,1301428
3243,1358772
3244,1358775
3245,1924024
3246,1924025
3247,1309626
3248,1924026
3249,1358780
3250,1825725
3251,1317822
3252,1358781
3253,179136
3254,1358782
3255,1924027
3256,1924028
3257,1358790
3258,1358794
3259,785355
3260,1825741
3261,1293261
3262,1825743
3263,1317838
3264,1293262
3265,1293264
3266,1358801
3267,1539028
3268,1924046
3269,1358806
3270,1309655
3271,1326040
3272,1924048
3273,1358810
3274,941019
3275,1817563
3276,1817564
3277,1817565
3278,1817567
3279,1817568
3280,1358817
3281,1358818
3282,1358819
3283,1817569
3284,1358821
3285,1817570
3286,1924071
3287,1358824
3288,1825769
3289,1817571
3290,1301485
3291,1358830
3292,1301487
3293,1326063
3294,1326065
3295,1358834
3296,1358833
3297,1014766
3298,179190
3299,1358839
3300,1326074
3301,1326075
3302,1358843
3303,983243
3304,1309696
3305,1358854
3306,1358855
3307,1358856
3308,1358857
3309,1358858
3310,39947
3311,1358860
3312,1358862
3313,1309712
3314,1358865
3315,1358866
3316,1924115
3317,1358868
3318,1326104
3319,1358875
3320,1358876
3321,1358877
3322,1088539
3323,1358879
3324,1358881
3325,1358882
3326,1358883
3327,1293348
3328,1358885
3329,1293350
3330,2104357
3331,908329
3332,1293354
3333,1293357
3334,1358893
3335,39983
3336,1825840
3337,1326129
3338,1080372
3339,2186292
3340,2137142
3341,39990
3342,1825848
3343,39994
3344,1825852
3345,1358913
3346,1088585
3347,1825867
3348,1417994
3349,1326157
3350,40016
3351,40025
3352,998490
3353,115420
3354,900196
3355,1358951
3356,1293417
3357,1418000
3358,1317995
3359,1318001
3360,769139
3361,1418002
3362,1825910
3363,40055
3364,23673
3365,23674
3366,1309819
3367,1326206
3368,1309823
3369,1318016
3370,1301636
3371,2129033
3372,1318028
3373,859277
3374,1301649
3375,1924250
3376,1293467
3377,1924251
3378,1924252
3379,1924254
3380,1309855
3381,1924255
3382,1924256
3383,1924257
3384,1318051
3385,1924258
3386,1924259
3387,1924260
3388,1924261
3389,1924263
3390,1924265
3391,1309866
3392,1924262
3393,1924264
3394,1924266
3395,1301678
3396,1318062
3397,949427
3398,1301684
3399,1359030
3400,1359033
3401,1293500
3402,1326271
3403,1318081
3404,1309889
3405,1326273
3406,1924293
3407,1924294
3408,1924295
3409,1924296
3410,1924297
3411,1924298
3412,1924299
3413,744652
3414,1924300
3415,1301715
3416,1293524
3417,1924313
3418,1924314
3419,1326304
3420,1309921
3421,1309925
3422,1015013
3423,2170086
3424,1301736
3425,1826024
3426,1244394
3427,1080553
3428,1318129
3429,1326324
3430,556276
3431,1301750
3432,1318134
3433,1301754
3434,1318140
3435,1318142
3436,1301771
3437,1309964
3438,1309965
3439,942592
3440,1924370
3441,40213
3442,1318175
3443,1326369
3444,1924387
3445,1318180
3446,1924389
3447,1924388
3448,1318191
3449,1924399
3450,1539377
3451,1924400
3452,1924401
3453,1924402
3454,1310005
3455,1924403
3456,1924404
3457,1924405
3458,1924406
3459,1924407
3460,1924408
3461,1924409
3462,1310013
3463,1924410
3464,1924411
3465,1326400
3466,1310017
3467,1924412
3468,1924413
3469,1310026
3470,1293643
3471,40268
3472,1015117
3473,40267
3474,1326418
3475,957781
3476,1310040
3477,1318235
3478,114012
3479,1318238
3480,1301855
3481,1301854
3482,1318243
3483,179558
3484,40295
3485,1301866
3486,1293676
3487,1326447
3488,1326464
3489,2162053
3490,1301904
3491,1924497
3492,1924498
3493,1924496
3494,1924499
3495,1924501
3496,1301910
3497,1310102
3498,1924500
3499,867731
3500,1293722
3501,2170265
3502,1310118
3503,1293735
3504,1318317
3505,1162672
3506,1301937
3507,1318325
3508,1301942
3509,1301947
3510,2145724
3511,294334
3512,998848
3513,1293770
3514,1318348
3515,1301965
3516,1924557
3517,1924558
3518,1924559
3519,1285585
3520,908754
3521,859604
3522,1301979
3523,802273
3524,2153953
3525,1924582
3526,1924584
3527,1924585
3528,1924586
3529,1924587
3530,163315
3531,1924598
3532,1924599
3533,1293816
3534,2096632
3535,482810
3536,1924600
3537,1302012
3538,1924601
3539,1302015
3540,1293824
3541,1924610
3542,1924611
3543,1302023
3544,1285639
3545,1924617
3546,1293839
3547,1318415
3548,1924623
3549,761364
3550,1924629
3551,1326614
3552,1924632
3553,1924635
3554,1285660
3555,1015334
3556,1293866
3557,1302060
3558,1326638
3559,1302063
3560,2178607
3561,975214
3562,1539639
3563,1924676
3564,1293899
3565,1318476
3566,1293906
3567,728658
3568,1326681
3569,2235993
3570,1310303
3571,1318501
3572,900713
3573,1302122
3574,1293934
3575,975226
3576,204404
3577,1310325
3578,1793657
3579,1285754
3580,1105537
3581,1310350
3582,859795
3583,1293972
3584,1302169
3585,1924763
3586,1302186
3587,1310379
3588,900782
3589,1293999
3590,1294008
3591,1294009
3592,1326785
3593,1310405
3594,1924811
3595,1318604
3596,1302220
3597,1924813
3598,1924814
3599,1924815
3600,1924817
3601,1924818
3602,1326807
3603,1015953
3604,1302235
3605,1302244
3606,1924836
3607,1310438
3608,1924842
3609,1310443
3610,311026
3611,1310453
3612,1285879
3613,1302269
3614,1326846
3615,859904
3616,1326850
3617,1294082
3618,1285892
3619,1302275
3620,1285896
3621,1318668
3622,1326864
3623,1924882
3624,1924883
3625,1924884
3626,1285911
3627,818969
3628,1294114
3629,835369
3630,1318698
3631,1285933
3632,1310509
3633,1285937
3634,1924917
3635,1302327
3636,1326903
3637,1326907
3638,1285948
3639,1285949
3640,1294145
3641,1326917
3642,1924939
3643,1924941
3644,1924942
3645,286543
3646,1924943
3647,1924944
3648,1924945
3649,2154323
3650,1924946
3651,1326933
3652,1924947
3653,1212247
3654,1924948
3655,1924949
3656,1924950
3657,1924951
3658,1294172
3659,999261
3660,1924952
3661,1326943
3662,1310560
3663,1285985
3664,1310562
3665,1285987
3666,1418151
3667,794469
3668,860001
3669,1081190
3670,1924959
3671,1924960
3672,1122154
3673,1122155
3674,1122156
3675,1122157
3676,1294190
3677,2178927
3678,2195306
3679,1294193
3680,1122162
3681,1122164
3682,1122165
3683,1122171
3684,106368
3685,1294215
3686,2178951
3687,1418159
3688,1302414
3689,2255068
3690,794517
3691,1318806
3692,1318811
3693,901019
3694,2255070
3695,1294238
3696,1302431
3697,1032094
3698,1310625
3699,1294244
3700,1318828
3701,1302445
3702,1286060
3703,1925041
3704,1286066
3705,769969
3706,1302457
3707,286650
3708,286651
3709,1310652
3710,2179003
3711,1294273
3712,1286082
3713,860099
3714,1318853
3715,1286090
3716,1418172
3717,106447
3718,1294288
3719,1302481
3720,1286099
3721,1089491
3722,958422
3723,1294300
3724,1302494
3725,2162657
3726,1286115
3727,1925092
3728,1925093
3729,1941482
3730,1302507
3731,229356
3732,1286125
3733,1925106
3734,1418180
3735,1925107
3736,1925109
3737,1925108
3738,1286135
3739,1294330
3740,614397
3741,614398
3742,1318911
