Number,Smiles,LogPS,Classification,Reference [PMID],
46,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC ,-3.3,CNSp-,14709630,
47,C1=CC(=CC=C1C[C@@H](C(=O)O)N) N(CCCl)CCCl ,-3.3,CNSp-,3815357,
48,C(CS(=O)(=O)O)N ,-3.2,CNSp-,18481317,
49,C1CCC(CC1)(CC(=O)O)CN ,-3.2,CNSp-,18481317,
50,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC) C(=O)OC)O ,-3.1,CNSp-,18481317,***
51,C1CC(OC1)N2C=C(C(=O)NC2=O)F ,-3.1,CNSp-,18481317,
52,CCCC(C)(COC(=O)N)COC(=O)N ,-3.1,CNSp-,17405866,
53,CN1C=NC2=C1C(=O)NC(=O)N2C ,-3,CNSp-,14709630,
54,C1C2CC3CC1CC(C2)(C3)N ,-3,CNSp-,18481317,
55,CC1=C(SC=[N+]1CC2=CN=C(N=C2N) C)CCO ,-3,Exempt,18481317,
56,C(CO)O ,-2.9,Exempt,9466345,
57,COC1=CC=CC2=C1NC3=C(C2=O)CCC CC3 ,-2.9,Exempt,18481317,
58,COCC(CN1C=CN=C1[N+](=O)[O-])O ,-2.9,Exempt,18481317,
59,CN(CC[C@H](C1=CC=C(C=C1)F)OC2=CC=C(C=C2)C3=CC=CC=C3)CC(=O)O ,-2.9,Exempt,14709630,
60,CN1C2=C(C(=O)N(C1=O)C)NC=N2 ,-2.9,Exempt,14709630,
61,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O ,-2.9,Exempt,18481317,
62,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C= C1)C ,-2.8,Exempt,18481317,
63,C1CC(=O)NC(=O)C1NC(=O)N(CCCl)N =O ,-2.8,Exempt,18481317,
64,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=_CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3 ,-2.8,Exempt,10993764,
65,CO[C@H]1[C@@H]([C@H](OC([C@@ H]1O)O)CO)O ,-2.8,Exempt,18481317,
66,C[C@@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O ,-2.8,Exempt,18481317,
67,CC1=NC=C(N1CCO)[N+](=O)[O-] ,-2.7,Exempt,18481317,
68,C[C@H]1[C@H]([C@H](C[C@@H](O1_)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC) O)(C(=O)C)O)N)O ,-2.7,Exempt,14709630,
69,CN1CC[C@]23[C@@H]4[C@H]1CC5=_C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O ,-2.7,Exempt,14709630,
70,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N= N2)N)N ,-2.7,Exempt,17405866,
71,CCN(CC)CCNC(=O)C1=CC(=C(C=C1O C)N)Cl ,-2.7,Exempt,17405866,
72,C1=CC=C(C=C1)CCNN ,-2.7,Exempt,17405866,
73,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O ,-2.6,Exempt,14980703,
74,CCCC(CCC)C(=O)O ,-2.5,Exempt,14709630,
75,CN1C=C(C2=CC=CC=C21)C(=O)[C@@H]3CCC4=C(C3)NC=N4 ,-2.5,Exempt,18481317,****
76,C(C[C@@H](C(=O)O)N)CN=C(N)N ,-2.5,Exempt,18481317,
77,CCC1(CC(=O)NC1=O)C ,-2.5,Exempt,17405866,
78,CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C ,-2.5,Exempt,17405866,
79,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O ,-2.4,Exempt,9593963,
80,CSCC[C@@H](C(=O)O)N ,-2.4,Exempt,18481317,
81,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C ,-2.3,Exempt,17405866,
82,C([C@@H]1[C@H]([C@@H]([C@H](C (O1)O)O)O)O)O ,-2.2,Exempt,10993764,
83,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C 3=CC=CC=C3 ,-2.2,Exempt,14709630,
84,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O ,-2.2,Exempt,18481317,
85,CC(CC1=CC=CC=C1)(C2=CC=CC=C2) NC(=O)CN ,-2.2,Exempt,18481317,
86,C1=CC(=C(C=C1CCN)O)O ,-2.1,Exempt,14709630,
87,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7= CNC8=CC=CC(=C78)C6=C5)C ,-2.1,Exempt,17405866,
88,C1CCC2=NC3=CC=CC=C3C(=C2C1)N ,-2.1,CNSp+,17405866,
89,C1=CC=C(C=C1)NC(=S)N ,-2,CNSp+,18481317,
90,CC(=O)CC(C1=CC=CC=C1)C2=C(OC3=CC=CC=C3C2=O)O ,-2,CNSp+,10993764,
91,CC1=CC(=O)N(N1C)C2=CC=CC=C2 ,-2,CNSp+,14709630,
92,CN1C=NC2=C1C(=O)N(C(=O)N2C)C ,-2,CNSp+,14709630,
93,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C #N)C3=CC=C(C=C3)F ,-2,CNSp+,17405866,
94,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCC CC2)O ,-2,CNSp+,17405866,
95,CC1=CNC(=O)NC1=O ,-1.9,CNSp+,9466345,
96,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[ C@H](C(=O)N[C@@H](C(=O)N([C@H ](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C )C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC( C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C )C ,-1.9,CNSp+,10993764,
97,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O ,-1.9,CNSp+,18481317,
98,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C ,-1.9,CNSp+,2338660,
99,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F ,-1.9,CNSp+,17405866,*****
100,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO ,-1.9,CNSp+,17405866,
101,CN1CCCCC1CCN2C3=CC=CC=C3SC4 =C2C=C(C=C4)S(=O)C ,-1.8,CNSp+,17405866,
102,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F ,-1.8,CNSp+,17405866,
103,CCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl ,-1.8,CNSp+,18481317,
104,C1=CC(=C(C=C1C[C@@H](C(=O)O)N) O)O ,-1.8,CNSp+,14709630,
105,CCCCCCCC(=O)O ,-1.8,CNSp+,18481317,
106,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O ,-1.8,CNSp+,16715377,
107,C1=CC=C2C(=C1)C=CC3=CC=CC=C3 N2C(=O)N ,-1.8,CNSp+,17405866,
108,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54 ,-1.7,CNSp+,17405866,
109,CNC(=S)NC1=CC=CC=C1 ,-1.7,CNSp+,18481317,
110,C1CC2([C@H]3CC4=C5[C@@]2(CCN3_110CC6CC6)[C@@H]([C@@H]1F)OC5=C(C=C4)O)O ,-1.7,CNSp+,18481317,
111,COC1=C(C=C2C(=C1O)C(=O)C=C(O2) C3=CC=C(C=C3)O)O ,-1.7,CNSp+,18481317,
112,CC(C)O ,-1.7,CNSp+,9466345,
113,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl ,-1.6,CNSp+,14709630,
114,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl ,-1.6,CNSp+,14709630,
115,CC(CC1=CC=CC=C1)(C2=CC=CC=C2)N ,-1.6,CNSp+,18481317,
116,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O ,-1.6,CNSp+,16715377,
117,CCO,-1.5,CNSp+,9466345,
118,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C ,-1.5,CNSp+,17405866,
119,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F ,-1.5,CNSp+,14709630,
120,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC ,-1.5,CNSp+,17405866,
121,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl ,-1.5,CNSp+,17405866,
122,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F ,-1.5,CNSp+,17405866,
123,CN1CCN(CC1)C2=NC3=CC=CC=C3OC 4=C2C=C(C=C4)Cl ,-1.5,CNSp+,17405866,******
124,CC1=CC=CC=C1O[C@H](CCNC)C2=C C=CC=C2 ,-1.4,CNSp+,17405866,
125,CN1CCN2C(C1)C3=CC=CC=C3CC4=C 2N=CC=C4 ,-1.4,CNSp+,17405866,
126,C[C@H](CC1=CC=CC=C1)N(C)CC#C ,-1.4,CNSp+,17405866,
