Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
194,coulomb_energy_BS_min,+,0.0112734,0.00222794
195,coulomb_energy_BS_max,+,0.0112734,0.00222794
196,coulomb_energy_BS_sum,+,0.0112734,0.00222794
197,coulomb_energy_BS_mean,+,0.0112734,0.00222794
198,self_charge_D2_sum,+,0.01126,0.00372143
199,total_ene_BS_norm,-,0.0110878,0.00151534
200,total_ene_BS_min,+,0.0110878,0.00151534
201,total_ene_BS_max,+,0.0110878,0.00151534
202,total_ene_BS_sum,+,0.0110878,0.00151534
203,total_ene_BS_mean,+,0.0110878,0.00151534
204,sig_sig_bo_BS_norm,+,0.0110584,0.00139015
205,sig_sig_bo_BS_min,+,0.0110584,0.00139015
206,sig_sig_bo_BS_max,+,0.0110584,0.00139015
207,sig_sig_bo_BS_sum,+,0.0110584,0.00139015
208,sig_sig_bo_BS_mean,+,0.0110584,0.00139015
209,PA_4_A,-,0.010997,0.00226719
210,sig_sig_bo_D1_MS_min,+,0.0108991,0.00179112
211,electrophilicity_D2_mean,+,0.0108902,0.00353864
212,ee_repulsion_D2_sum,-,0.0108679,0.00132602
213,repulsion_energy_D1_MS_sum,-,0.0108501,0.00177633
214,atom_area_D1_mean,-,0.0108385,0.00251992
215,bond_degree_D1_MS_min,+,0.0107806,0.00440181
216,ne_energy_D1_MS_sum,+,0.0107606,0.00177919
217,nn_energy_D1_MS_sum,-,0.0107204,0.00183201
218,sig_sig_bo_D1_MS_norm,-,0.0106142,0.00171486
219,coulomb_energy_D1_MS_max,-,0.0105871,0.00134657
220,en_attraction_D2_sum,+,0.010533,0.00129746
221,pi_pi_bo_D1_BS_sum,+,0.010505,0.00234026
222,sig_pi_mulliken_D1_BS_mean,+,0.0104713,0.00180536
223,sig_sig_bo_D1_BS_mean,-,0.0103858,0.00267176
224,sig_pi_mulliken_D1_BS_min,+,0.0103618,0.0033577
225,electronic_energy_D2_sum,+,0.0102855,0.00131351
226,active_charge_D2_max,+,0.0102579,0.0020014
227,PA_3_P,+,0.0102432,0.00201631
228,en_attraction_D1_min,+,0.0102351,0.00167655
229,ee_repulsion_D2_min,-,0.010167,0.00206935
230,active_charge_D2_sum,-,0.0100873,0.00135802
231,NA_3_Po,-,0.0099646,0.00373865
232,NA_3_P,+,0.0099123,0.00204865
233,PA_1_C,+,0.00989816,0.00306895
234,electron_density_D1_min,-,0.00986422,0.0056185
235,sig_pi_bo_D1_MS_max,+,0.00983816,0.00223564
236,exchange_energy_D1_BS_sum,-,0.00981808,0.000558589
237,resonance_energy_D1_BS_sum,-,0.00981013,0.000722043
238,resonance_energy_D1_MS_sum,-,0.0097777,0.00215128
239,sig_sig_mulliken_D1_MS_max,+,0.00975184,0.00367758
240,en_attraction_D1_norm,-,0.00957153,0.00212061
241,pi_pi_mulliken_D1_BS_sum,-,0.00952139,0.00242018
242,total_ene_D1_MS_norm,-,0.00949547,0.00101019
243,active_charge_D1_min,-,0.00949328,0.00587957
244,PA_3_H,+,0.00941103,0.00152632
245,resonance_energy_D1_MS_max,-,0.00940948,0.00161314
246,sig_sig_mulliken_D1_MS_norm,-,0.00932985,0.00112226
247,electron_density_D2_sum,-,0.00930533,0.00144121
248,bond_degree_D1_BS_sum,+,0.00922368,0.000503679
249,active_charge_D2_min,-,0.00919248,0.00186826
250,sig_pi_bo_D1_MS_min,-,0.00905248,0.00320533
251,PA_4_O,-,0.00894248,0.00569936
252,NA_1_S,+,0.00891003,0.0019279
253,exchange_energy_BS_norm,-,0.00890401,0.000974199
254,exchange_energy_BS_min,+,0.00890401,0.000974199
255,exchange_energy_BS_max,+,0.00890401,0.000974199
256,exchange_energy_BS_sum,+,0.00890401,0.000974199
257,exchange_energy_BS_mean,+,0.00890401,0.000974199
258,NA_1_N,-,0.0087841,0.00454553
259,sig_pi_bo_D1_MS_sum,+,0.00878155,0.00221607
260,electron_density_D2_min,-,0.00874014,0.00218735
261,en_attraction_D2_max,+,0.00872112,0.00241381
262,pi_pi_bo_D1_BS_mean,+,0.0086713,0.00227441
263,total_ene_D1_BS_sum,-,0.0085738,0.000778215
264,resonance_energy_D1_MS_min,+,0.00829632,0.00176652
265,NA_0_X,+,0.00828715,0.00127805
266,coulomb_energy_D1_MS_norm,-,0.00826482,0.00127742
267,NA_3_A,-,0.00824305,0.00449778
268,active_charge_D1_norm,-,0.00823262,0.00265117
269,BASE_GROUP_NON_HYD_BOND_COUNT,+,0.00819097,0.0035725
270,sig_sig_bo_D1_MS_sum,-,0.00817662,0.00193376
271,nucleophilicity_D2_max,+,0.0079917,0.00254552
272,PA_1_X,+,0.00798739,0.00389352
273,pi_pi_mulliken_MS_norm,-,0.00796698,0.00189448
274,coulomb_energy_D1_MS_mean,-,0.00792941,0.00160364
275,electronic_energy_D2_max,+,0.00768023,0.00263121
276,pi_pi_mulliken_D1_MS_mean,+,0.00757007,0.00225586
277,bond_degree_D1_BS_min,-,0.00751715,0.00149288
278,sig_sig_bo_D1_BS_sum,+,0.00739233,0.000841725
279,sig_pi_mulliken_BS_min,-,0.0073442,0.00212225
280,sig_pi_mulliken_BS_max,-,0.0073442,0.00212225
281,sig_pi_mulliken_BS_sum,-,0.0073442,0.00212225
282,sig_pi_mulliken_BS_mean,-,0.0073442,0.00212225
283,resonance_energy_D1_MS_norm,-,0.00727133,0.00135521
284,atom_area_D1_norm,-,0.0071819,0.00216156
285,nucleophilicity_D1_max,+,0.00717345,0.00291997
286,ne_energy_D1_MS_min,-,0.0071271,0.00170411
287,active_charge_D2_norm,+,0.00711141,0.00110338
288,coulomb_energy_D1_BS_norm,+,0.00710722,0.00145391
289,sig_pi_mulliken_BS_norm,-,0.0071054,0.00284893
290,repulsion_energy_D1_MS_max,+,0.00702,0.00184661
291,PA_1_O,-,0.00699972,0.002379
292,repulsion_energy_BS_norm,+,0.0069864,0.00114073
293,repulsion_energy_BS_min,+,0.0069864,0.00114073
294,repulsion_energy_BS_max,+,0.0069864,0.00114073
295,repulsion_energy_BS_sum,+,0.0069864,0.00114073
296,repulsion_energy_BS_mean,+,0.0069864,0.00114073
297,exchange_energy_D1_BS_max,+,0.00696282,0.0014918
298,ee_repulsion_D1_max,-,0.00696064,0.00176969
299,resonance_energy_D1_BS_min,+,0.00693729,0.00150443
300,PA_2_H,+,0.00692298,0.00174001
301,pi_pi_mulliken_D1_MS_norm,-,0.0068664,0.00200797
302,sig_sig_mulliken_D1_BS_norm,+,0.00682998,0.000829291
303,nn_energy_D1_MS_max,+,0.00670049,0.00156285
304,sig_pi_mulliken_D1_BS_max,-,0.00668644,0.00109839
305,bond_degree_D1_BS_mean,-,0.00661867,0.00218412
306,ee_repulsion_D1_norm,-,0.00659678,0.00223408
307,sig_pi_mulliken_D1_MS_max,-,0.0065854,0.00146676
308,fukui_D1_min,-,0.00658526,0.00189418
309,PA_4_N,-,0.00652382,0.0024001
310,electrophilicity_D1_max,-,0.00647747,0.00282765
311,total_ene_D1_MS_mean,-,0.0064766,0.00125123
312,ee_repulsion_D2_norm,+,0.00640527,0.000815821
313,PA_1_H,+,0.00640517,0.00400612
314,PA_1_S,+,0.00632572,0.0017261
315,NA_2_C,-,0.00631836,0.00254851
316,fukui_D1_norm,+,0.00629256,0.00133744
317,PA_2_O,-,0.00614715,0.00170402
318,exchange_energy_D1_MS_max,-,0.00614437,0.00108162
319,bond_degree_D1_MS_norm,+,0.00601386,0.00249752
320,atom_area_D2_norm,-,0.00586238,0.00363023
321,sig_pi_mulliken_D1_BS_norm,+,0.00583387,0.00125193
322,sig_sig_mulliken_D1_BS_max,+,0.00560268,0.00201905
323,coulomb_energy_MS_norm,-,0.00559605,0.0012318
324,pi_pi_mulliken_D1_BS_min,+,0.00554379,0.00214297
325,resonance_energy_D1_BS_norm,+,0.00553051,0.000638982
326,coulomb_energy_MS_min,-,0.00543315,0.000797226
327,coulomb_energy_MS_max,-,0.00543315,0.000797226
