Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
379,BASE_GROUP_In_InRing4,-,0.00399497,0.00043169
380,total_ene_D1_MS_min,+,0.00397661,0.00106749
381,pi_pi_mulliken_BS_norm,-,0.00396189,0.00191447
382,pi_pi_mulliken_D1_BS_norm,+,0.0039407,0.00286601
383,sig_sig_mulliken_BS_min,-,0.00388594,0.000887169
384,sig_sig_mulliken_BS_max,-,0.00388594,0.000887169
385,sig_sig_mulliken_BS_sum,-,0.00388594,0.000887169
386,sig_sig_mulliken_BS_mean,-,0.00388594,0.000887169
387,sig_sig_mulliken_BS_norm,+,0.00388379,0.000887594
388,ne_energy_D1_BS_mean,+,0.00386177,0.00162903
389,electron_density_D2_norm,+,0.00383704,0.00140594
390,exchange_energy_D1_MS_sum,-,0.00376732,0.00140519
391,sig_pi_mulliken_D1_BS_max,-,0.00374116,0.00140206
392,ee_repulsion_D2_mean,+,0.00358877,0.00196032
393,sig_pi_mulliken_D1_MS_max,-,0.00350306,0.00159941
394,nn_energy_D1_BS_min,-,0.00346888,0.00166191
395,coulomb_energy_D1_BS_max,+,0.00345286,0.00152248
396,bond_degree_D1_BS_norm,+,0.00339774,0.000746351
397,sig_sig_mulliken_MS_norm,+,0.00336711,0.00178925
398,BASE_GROUP_In_InRing6,+,0.00336066,0.00320406
399,ne_energy_D1_BS_min,+,0.0033299,0.00142112
400,fukui_D1_norm,+,0.00332495,0.00245297
401,NA_1_O,-,0.00331871,0.00269968
402,nn_energy_D1_MS_mean,+,0.00329682,0.000620475
403,bond_degree_D1_MS_mean,-,0.00323786,0.00243723
404,atom_area_D2_norm,-,0.00320785,0.00272548
405,nucleophilicity_D2_sum,+,0.00319188,0.00249994
406,sig_sig_mulliken_MS_min,-,0.00319053,0.00180077
407,sig_sig_mulliken_MS_max,-,0.00319053,0.00180077
408,sig_sig_mulliken_MS_sum,-,0.00319053,0.00180077
409,sig_sig_mulliken_MS_mean,-,0.00319053,0.00180077
410,PA_3_X,-,0.00314,0.00216671
411,ne_energy_D1_MS_mean,-,0.00311022,0.000621419
412,pi_pi_mulliken_BS_min,-,0.00310584,0.00173421
413,pi_pi_mulliken_BS_max,-,0.00310584,0.00173421
414,pi_pi_mulliken_BS_sum,-,0.00310584,0.00173421
415,pi_pi_mulliken_BS_mean,-,0.00310584,0.00173421
416,ne_energy_D1_BS_max,+,0.00307146,0.00183358
417,fukui_D1_max,-,0.00304083,0.00339367
418,electrophilicity_D1_norm,-,0.00303816,0.00386654
419,nn_energy_MS_norm,+,0.00302056,0.00113061
420,nn_energy_MS_min,+,0.00302056,0.00113061
421,nn_energy_MS_max,+,0.00302056,0.00113061
422,nn_energy_MS_sum,+,0.00302056,0.00113061
423,nn_energy_MS_mean,+,0.00302056,0.00113061
424,sig_sig_bo_MS_norm,-,0.00296125,0.00113761
425,sig_sig_bo_MS_min,-,0.00296125,0.00113761
426,sig_sig_bo_MS_max,-,0.00296125,0.00113761
427,sig_sig_bo_MS_sum,-,0.00296125,0.00113761
428,sig_sig_bo_MS_mean,-,0.00296125,0.00113761
429,repulsion_energy_D1_BS_min,-,0.00289403,0.00203741
430,pi_pi_bo_D1_BS_max,-,0.00285999,0.00130248
431,sig_sig_bo_D1_BS_norm,+,0.00282829,0.000750101
432,repulsion_energy_D1_MS_mean,+,0.00279816,0.000759084
433,sig_pi_mulliken_MS_min,+,0.00278427,0.000637459
434,sig_pi_mulliken_MS_max,+,0.00278427,0.000637459
435,sig_pi_mulliken_MS_sum,+,0.00278427,0.000637459
436,sig_pi_mulliken_MS_mean,+,0.00278427,0.000637459
437,BASE_GROUP_In_InRing8,-,0.00276131,0.000251203
438,exchange_energy_D1_BS_mean,+,0.00269482,0.00158099
439,NA_2_S,-,0.00260171,0.00208338
440,pi_pi_mulliken_D1_BS_max,-,0.0025997,0.00191389
441,electron_density_D1_max,-,0.0025679,0.00306782
442,NA_4_A,-,0.00251797,0.00175859
