,biocomp_id,molregno,component_id
0,553,112560,6717
1,652,508828,6747
2,564,674462,6717
3,565,674467,6717
4,486,675360,6671
5,487,675361,6672
6,489,675363,6674
7,492,675366,6677
8,495,675367,6680
9,497,675368,6682
