,ass_cls_map_id,assay_id,assay_class_id
0,69087,453,115
1,130030,1054,322
2,129675,1055,322
3,129845,1056,322
4,129935,1057,322
5,129936,1058,322
6,129682,1059,322
7,129938,1586,322
8,129838,1587,322
9,130314,1660,322
