,drug_name,drug_type,Smiles
0,Biotin,Monocarboxylate_transporter_1-Substrate,OC(=O)CCCC[C@@H]1SC[C@H]2NC(=O)N[C@@H]12
1,Hydroxybutyric Acid,Monocarboxylate_transporter_1-Substrate,CCCC(O)=O
2,Mersalyl,Monocarboxylate_transporter_1-Inhibitor,CO[C@@H](CNC(=O)C1=C(OCC([O-])=O)C=CC=C1)C[Hg]O
3,Milchsäure,Monocarboxylate_transporter_1-Substrate,C[C@@H](O)C(O)=O
4,Nateglinide,Monocarboxylate_transporter_1-Substrate,CC(C)[C@@H]1CC[C@H](CC1)C(=O)N[C@@H](CC2=CC=CC=C2)C(O)=O
5,Nicotine,Monocarboxylate_transporter_1-Inducer,CN1CCC[C@H]1C2=CC=CN=C2
6,Niflumic Acid,Monocarboxylate_transporter_1-Inhibitor,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)N=CC=C1
7,Nitric Oxide,Monocarboxylate_transporter_1-Inducer,N=O
8,Testosterone,Monocarboxylate_transporter_1-Inducer,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
