ID,SMILES,LOAEL [mg/kg_bw/day]
396,n1c(C)nc(OC)nc1NC(=O)NS(=O)(=O)c2ccsc2C(=O)OC,25
402,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,5
406,O=N(=O)N(CN1N(=O)=O)CN(C1)N(=O)=O,1.5
408,O=C(N=C(N(C1(=O))C)N(C)C)N1C(CCCC2)C2,50
413,n(c(c(ccc1)cc2)c1O)c2,143
414,c1cc(Cl)cc(Cl)c1C(OCC=C)Cn2cncc2,40
421,COc1cccc(OC)c1C(=O)Nc2onc(C(C)(CC)CC)c2,50.7
428,n1c(OC)cc(OC)nc1NC(=O)NS(=O)(=O)Cc2ccccc2C(=O)OC,309
430,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,50
435,CN(C)(CCC1)CC1,150
438,O=P(SCCCC)(SCCCC)SCCCC,1.25
440,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,62.5
442,S=P(OC)(OC)SCN1C(=O)SC(OC)=N1,2
443,CNC(=O)ON=C(C)SC,10
448,COP(=S)(OC)Oc1ccc(cc1)N(=O)(=O),0.25
454,O=C1N(N)C(SC)=NN=C1C(C)(C)C,15
461,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,2
465,OC(C(N)C1O)C(C)OC1(C)OC(CC(C)(C(C2O)C(O)=O)OC(O)(C2)CC(O)CC(C)(O3)C3C=C4)C=CC=CC=CC=CCC(C)OC4=O,72
466,O=N(=O)c(ccc(c1N)C)c1,8
467,O=N(=O)c(c(N)ccc1N)c1,87
469,O=C(O)C(=C(N)C=C1N(=O)=O)C=C1,1185
473,O=N(=O)c(c(c(ccc1)cc2)c1)c2,165
480,c12c(N=Nc3ccccc3)c(O)ccc1cc(S(=O)(=O)O)cc2,180
482,CC(C)Oc1cc(c(Cl)cc1Cl)N2N=C(OC2(=O))C(C)(C)C,5
483,CNC(=O)ON=C(SC)C(=O)N(C)C,5
491,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,3.5
498,Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl,10
501,NC(=N)NC(=N)NCCc1ccccc1,73
507,COP(=S)(OC)SCN2C(=O)c1ccccc1C2(=O),20
508,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,12.3
