ID,SMILES,LOAEL [mg/kg_bw/day]
894,C1=CC(=CC=C1C(CN)O)O,250
895,CC1=C(C(=CC=C1)C)N(C(=O)COC)N2CCOC2=O,50
896,c1c(C(F)(F)F)cccc1N2C(=O)C(Cl)=C(NC)C=N2,18.75
898,CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],50
899,C1=CC(=CC=C1S(=O)(=O)C2=CC(=C(C=C2Cl)Cl)Cl)Cl,230
900,CCCCC1=C(NC(=NC1=O)NCC)C,25
901,n(c(nc(n1)NCC)NCC)c1Cl,5.3
903,FC(F)(F)C(C=C1N(=O)=O)=CC(N(=O)=O)=C1N(CC)CC(C)=C,12.5
904,C1CCC(C1)N(CC2=CC=C(C=C2)Cl)C(=O)NC3=CC=CC=C3,25
905,CS(=O)(=O)NC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],50
906,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl,9
907,CCC1=C(C(=CC=C1)CC)N(CNC(=O)C)C(=O)CCl,62.5
909,NC(=N)NCCCCCCCCCCCC(OC(=O)C),29
911,C1=CC(=CC(=C1)Cl)NC(=O)OCC#CCCl,450
913,CC(C)C(C(=O)OC(C(#N))c2cccc(Oc1ccccc1)c2)c3ccc(Cl)cc3,25
915,CC(C)C1=C(C=CC(=C1)C(C)(C)C2=CC(=C(C=C2)O)C(C)C)O,25
916,CCN(CC1=C(C=CC=C1Cl)F)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],50
917,CCCCCCCCSC(=O)OC1=CC(=NN=C1C2=CC=CC=C2)Cl,67.5
918,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,13.8
919,CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,250
920,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2,46
922,CC(C)C(C1=CC=C(C=C1)OC(F)F)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,6
923,Clc1ccccc1c2nnc(c3ccccc3Cl)nn2,20
925,CCOC(=O)NCCOC1=CC=C(C=C1)OC2=CC=CC=C2,10
926,CCC1=C(C(=CC=C1)CC)N(CC(=O)OCC)C(=O)CCl,50
929,c1(O2)c(CC2(C)C)cccc1OC(=O)N(C)SN(CCCC)CCCC,25
932,CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F,3
936,COC1=CC(=C(C=C1Cl)OC)Cl,125
937,CCOP(=S)(OCC)OC1=NN(C(=N1)Cl)C(C)C,12.5
938,n(c(nc(n1)NC(C)C)NCC)c1Cl,25
941,CC(C)(C)C(C(=CC1=CC=C(C=C1)Cl)N2C=NC=N2)O,39.41
942,CCCCCCCCc1cc(N(=O)(=O))c(OC(=O)C=CC)c(c1)N(=O)(=O),50
943,c1cc(OC(F)(F)F)ccc1C(O)(C(C)C)c2cncnc2,12.1
944,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,20
945,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)O,125
946,CCCN(CC1CC1)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],5
947,CCOC(=O)C(C)OC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],50
948,CCSC(=O)N1CCCCCC1,14.81
950,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(=CC(=C2)C)C)C(C)(C)C,48
951,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2(=O),15
952,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC(F)F)OC(F)F,140
953,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,25
954,CC1=C(C=CC(=C1)Cl)OCC(=O)O,4
955,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC,62.25
956,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl,2.3
959,[O-]Br(=O)=O,6.1
960,OP(=O)OCC,400
972,COP(N)(=O)SC,0.1
973,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,1.5
979,CCOP(=S)(OCC)SCCSCC,0.04
981,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,2
992,O=C(OCC(CCCC)CC)CCCCC(=O)OCC(CCCC)CC,1500
996,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,10
997,CC(C(O)C1OC)OC(C1)(C)OC(C(OC)C2)C(C)OC2(C)OC(C(C)C=CC=C(CO4)C(O)(C4(C)C6O)C(C)(C5=O)C=C6C)C(C)=CCC(C)(OC3(C=CC7C)OC7(C)C(C)CC)CC... <Preview truncated at 128 characters>,2
998,O=C(N(S(=O)(=O)Nc1cccc2)C(C)C)c12,35
1000,S=P(OC)(OC)SCN1C(=O)SC(OC)=N1,1.25
1008,C(#N)Cl,70
1009,C(#N)Br,122
1010,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,0.25
1016,c(cccc1)(c1)C(C)C,331
1017,CCCN(CCC)C(=O)SCC,25
1019,NC(CCCC1)C1,60
1025,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,6
1030,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,1000
1031,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,10
1033,COC(=O)C1=CC=C(C=C1)C(=O)OC,125
1036,N(C(=S)NC1)C1,0.25
1039,O=C(N(OC)C)Nc(ccc(c1Cl)Cl)c1,2.5
1043,c(cccc1)(c1)C=C,285
1044,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(OC)nc(C)n2,250
1048,C1=CC(=CC=C1N)Cl,12.5
1050,FC(F)(F)C(Cl)=CC1C(C)(C)C1C(=O)OC(C(#N))c2cc(Oc3ccccc3)ccc2,12.5
1051,C(Cl)(Br)Br,28.5
1052,C=C(Cl)Cl,14
1053,C(C=CCl)Cl,5.1
1058,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,50
1068,Oc(ccc(c1)C(c(ccc(O)c2)c2)(C)C)c1,50
1069,O=C(OCc(cccc1)c1)c(c(ccc2)C(=O)OCCCC)c2,470
1070,O=C(NCCCC1)C1,125
1073,c(cccc1)(c1)Cl,120
1075,C(Cl)(Cl)Cl,60
1079,ClCCl,52.58
1085,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,0.125
1086,OCCO,1000
1093,O=C(C=C(CC1(C)C)C)C1,179
1113,C(F)(Cl)(Cl)Cl,349
1117,CCc1cccc(CC)c1N(COC)C(=O)CCl,14
1118,c1ccccc1c2c(C)c(COC(=O)C3C(C)(C)C3C=C(Cl)C(F)(F)F)ccc2,5
1121,n1c(Cl)cc(OC)nc1NC(=O)NS(=O)(=O)c2ccccc2C(=O)OCC,125
1125,O=C(NC(=O)c(c(F)ccc1)c1F)Nc(ccc(c2)Cl)c2,7.8
1130,c(cccc1)(c1)CC,291
1131,O=C(N(SC(Cl)(Cl)Cl)C(=O)c1cccc2)c12,40
1133,Clc1cc(C(F)(F)F)cnc1Oc2ccc(OC(C)C(=O)OC)cc2,1
1135,C#N,31
1139,ClC(C(OC(C=C2C(=O)OC(C)C(=O)OCC)=CC=C2N(=O)=O)=C1)=CC=C1C(F)(F)F,50
1144,c1c(C(F)(F)F)cccc1N2C(=O)C(Cl)=C(NC)C=N2,51.25
1145,O=N(=O)C(C(=C1N(=O)=O)N(C(C)C)C(C)C)=CC(=C1)S(=O)(=O)N,45
1146,CN(=CC=C1C(C=C2)=CC=N2C)C=C1,3.75
1157,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],13.31
1158,C(=C)Cl,1.3
1161,C1CCC(=O)CC1,910
1162,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,25
1168,C1=CC(=O)NNC1(=O),500
1173,CCSC(=O)N1CCCCCC1,2
1190,C(C(Cl)(Cl)Cl)(O)O,135
1202,ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,0.025
1207,Clc1cc(C(F)(F)F)ccc1Oc2cc(OCC)c(N(=O)(=O))cc2,10
1214,c1cc(Cl)ccc1C(C(#N))(CCCC)Cn2ncnc2,9.84
1217,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2
1454,CC(C)OC(=O)C(C1=CC=C(C=C1)Br)(C2=CC=C(C=C2)Br)O,26
1455,C[N+](C)(C)CCCl,130
1456,CCC(=C1C(=O)CC(CC1=O)CC(C)SCC)NOCC=CCl,86
1457,CC1=NC(=NC(=C1)C2CC2)NC3=CC=CC=C3,35.6
1459,N(c(cccc1)c1)c(cccc2)c2,25
1461,CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4,16.8
1462,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,292
1463,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N,110
1464,C(F)(F)(F)c1ccccc1C(=O)Nc2cccc(OC(C)C)c2,87
1465,C(CCCCN=C(N)N)CCCNCCCCCCCCN=C(N)N,19
1466,C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl,17
1467,COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,3.6
1468,CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC,370
1469,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C,411
1470,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)OC(C(OC(F)(F)F)F)(F)F)Cl)F,36
1472,CC1=CC=C(C=C1)N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C,18
1473,CC(C)(C)C1=C(C=CC(=C1)O)O,225
1474,CC(=NOCC1=CC=CC=C1C(=NOC)C(=O)OC)C2=CC(=CC=C2)C(F)(F)F,60
1475,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,9
1478,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,8.7
1479,C1=CC=C(C(=C1)C2=NN=C(N=N2)C3=CC=CC=C3Cl)Cl,17.3
1480,CCCC(=C1C(=O)CC(CC1=O)C2CCCSC2)NOCC,28
1481,C1CC1NC2=NC(=C(C(=N2)N)C#N)N,22
1483,C(C=C1)(=N(C=C1)CC2)C(N2=C3)=CC=C3,0.57
1484,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,6
1485,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,12
1486,C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N,30
1487,CC1CN(CC(O1)C)CC(C)CC2=CC=C(C=C2)C(C)(C)C,1.7
1489,C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,2
1490,c1cc(Cl)cc(Cl)c1C(OCC=C)Cn2cncc2,15
1492,CN(=CC=C1C(C=C2)=CC=N2C)C=C1,2.55
1493,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,100
1494,Clc1cc(Cl)ccc1C2(Cn3ncnc3)OC(CCC)CO2,96
1495,C(=CC=C1)(C2=C1)NC(=N2)C(=CS3)N=C3,30
1497,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,26
1498,CC(C)(C)c2ccc(OC1CCCCC1OS(=O)OCC#C)cc2,19
1499,CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3,140
1500,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,114
1501,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,105
1502,c1ccccc1c2c(C)c(COC(=O)C3C(C)(C)C3C=C(Cl)C(F)(F)F)ccc2,8
1503,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,6
1504,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,12
1505,ClC(Cl)=CC1C(C)(C)C1C(=O)OC(C(#N))c2cccc(Oc3ccccc3)c2,50
1508,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,0.25
1509,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,0.1
1510,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,0.25
1512,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,4.7
1513,CCC(=O)Nc1ccc(Cl)c(Cl)c1,76
1514,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],140
1516,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,2.9
1517,O=C(N(SC(Cl)(Cl)Cl)C(=O)c1cccc2)c12,50
1518,CC(C(=O)O)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl,0.1
1519,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,9.8
1520,Clc1cc(Cl)cc(Cl)c1OCCN(CCC)C(=O)n2cncc2,5.1
1522,COP(=O)(NC(=O)(C))SC,2.5
1524,CCOP(=O)(OCC)OC(=CCl)C1=C(C=C(C=C1)Cl)Cl,1.5
1526,CCOP(=S)(OCC)SCCSCC,0.22
1527,O=P(O)(O)CCCl,12
1528,CCCSP(=O)(OCC)SCCC,2.7
1529,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,1.7
1530,COP(=S)(OC)Oc1ccc(SC)c(C)c1,0.72
1531,OC(=O)C(N)CCP(C)(=O)O,3.5
1532,OC(=O)CNCP(O)(O)=O,300
1533,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,360
1534,COP(N)(=O)SC,0.29
1535,CC(=CC(=O)OC)OP(=O)(OC)OC,0.35
1536,CCOP(=S)(OCC)SCSCC,0.16
1538,CCOP(=S)(OCC)SCSC(C)(C)C,0.06
1539,S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O),2.58
1540,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,1
1541,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,5.8
1542,CCC1=NC(=CC(=N1)OP(=S)(OC)OC)OCC,0.45
1543,S=P(OC)(OC)SCN1C(=O)SC(OC)=N1,1.6
1544,CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O,2
1545,COP(=S)(OC)SCN2C(=O)c1ccccc1C2(=O),9
1547,CCOC(=O)C1=CN2C(=CC(=N2)OP(=S)(OCC)OCC)N=C1C,4
1548,CCOP(=S)(OCC)OC1=NN(C=N1)C2=CC=CC=C2,1.3
1549,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,60
1551,CC1=CC(=CC(=C1SC)C)OC(=O)NC,9.3
1552,CNC(=O)ON=C(C)SC,20
1553,CCCOC(=O)NCCCN(C)C,680
1556,COC(=O)NC1=NC2=CC=CC=C2N1,75
1558,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,12.3
1559,CNC(=O)CCSCCSP(=O)(OC)OC,0.54
1565,N(C(=S)SSC(N(C)C)=S)(C)C,12
1567,C1=NNC(=N1)N,5
1568,CCCCCCCCc1cc(N(=O)(=O))c(OC(=O)C=CC)c(c1)N(=O)(=O),64
1572,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3,0.3
1574,O=C(NC(=O)c(c(F)ccc1)c1F)Nc(ccc(c2)Cl)c2,7
1575,N(C(=S)NC1)C1,1.25
1576,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2F)Cl)F)Cl)F,25
1687,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,20
1688,C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3,115
1689,CC1(C2C(C3C(C(=O)C(=C(N)O)C(=O)C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)N(C)C)O)O,5200
1690,CC1=CC(=C(C=C1NC(=O)C2=CC(=CC(=C2O)I)I)Cl)C(C#N)C3=CC=C(C=C3)Cl,10
1691,CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,50
1692,C1=CC(=CC=C1C(C#N)C2=C(C=CC(=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl,15
1693,CC1=NC=C(N1C)[N+](=O)[O-],15
1694,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,26
1695,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)NC(=O)C)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,1
1696,COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)NC(=NC(=O)OC)NC(=O)OC,40
1698,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,400
1700,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3,2
1701,CC1(C2CC3C(C(=O)C(=C(N)O)C(=O)C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,150
1702,C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3,30
1703,CC(C)NCC(COC1=CC=CC2=C1C3=CC=CC=C3N2)O,7
1704,C1=CC(=CC=C1C(C#N)C2=C(C=CC(=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl,23
1705,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)NC(=O)C)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,2.5
1715,COP(=S)(OC)Oc1ccc(SC)c(C)c1,0.45
1721,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,8
1725,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,4
1729,CC(N(C)C)CN(C(=CC=C3)C1=C3)C(=CC=C2)C(=C2)S1,16.6
1737,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],240
1741,c(cccc1)(c1)C=C,400
