"","StaticF: fold0","StaticF: fold1","StaticF: fold2","SemiF: fold0","SemiF: fold1","SemiF: fold2","ECFP6: fold0","ECFP6: fold1","ECFP6: fold2","DFS8: fold0","DFS8: fold1","DFS8: fold2","ECFP6+ToxF: fold0","ECFP6+ToxF: fold1","ECFP6+ToxF: fold2"
"CHEMBL1794356",0.966114146831708,0.904006086570853,0.935331834624752,0.935048845560188,0.922658283026532,0.927826063315976,0.96104449262172,0.907162014631944,0.9548618446283,0.931358083469609,0.916946715003173,0.91589004946423,0.964632520206783,0.926410209006923,0.938561511587241
"CHEMBL3214930",0.213438731401393,0.258952647379482,0.224708455072619,0.521109956945642,0.357636368204166,0.386567448506847,0.252099823521001,0.232419711298376,0.312270240466384,0.29630503415462,0.321297479843808,0.415781608212475,0.283294772938713,0.240752300209259,0.382060708479206
"CHEMBL1738025",0.665781054567099,0.80407729618235,0.705051026907891,0.846010342866467,0.860586442048208,0.818108134758095,0.720465303058537,0.824683967277047,0.799521552455576,0.785304438572934,0.868050857512366,0.802424807760329,0.815594627812288,0.841744471798674,0.793927906670723
"CHEMBL2114771",0.340960709504539,0.358602394154311,0.336753162679051,0.354316128619112,0.353854788130874,0.346488713319162,0.372791529942732,0.348570283297854,0.441586561155006,0.413527977305031,0.331344721251577,0.475883881107482,0.39998216892109,0.346776332236773,0.440083160740083
"CHEMBL1827362",0.984828238844714,0.990647917196354,1,0.987716894306899,0.99225788402358,0.998298611111111,0.987565876152833,0.991877884980028,0.996730769230769,0.932801456885404,0.984831095883503,0.998298611111111,0.992222222222222,0.988863850312901,0.996524758454106
"CHEMBL1794578",0.677167269875776,0.773223443313805,0.80799429337175,0.728353834554518,0.855412246866538,0.777805999251193,0.659701062353913,0.710441562550665,0.693818912443392,0.760958849489128,0.803283018890551,0.687236066572988,0.70811350924765,0.808929290333101,0.720685925824535
"CHEMBL1794358",0.51092284739983,0.0151591366380099,0.382906877487977,0.559294871794872,0.0294511554621849,0.133739655042294,0.416666666666667,0.0939470154258887,0.101822602328693,1,0.0285412262156448,0.268087134705627,0.416666666666667,0.0346689895470383,0.135979510741461
"CHEMBL3214812",0.855806583470924,0.789091728249073,0.694952987635753,0.929166460340518,0.809729130636376,0.833563113914512,0.844102954151342,0.686733635368252,0.696705893215432,0.94158806601774,0.812730066937152,0.847102146772492,0.868783190936864,0.780874896293497,0.722463184745761
"CHEMBL1614514",0.119698108557155,0.231935857522766,0.10637590592565,0.154293498000303,0.161265078131996,0.113749802782796,0.172002770830444,0.199758958231069,0.141410366874523,0.157002954243473,0.154607237001657,0.128327072288347,0.16932166558544,0.151897350602025,0.151650251053358
"CHEMBL1613898",0.760300756373631,0.637597188412974,0.587093089168188,0.784441177356157,0.638933330164716,0.61173609595393,0.604997336122902,0.620018693891157,0.835973629155447,0.776314272885458,0.78893779080344,0.758732380151818,0.746665494344539,0.679490837793421,0.814739225421044
"CHEMBL2114857",0.42716989626098,0.704230035961159,0.60081913702289,0.549747299762553,0.696554946419116,0.73824209107837,0.446790841523927,0.632002055553722,0.612471264821673,0.583608030498873,0.653222613900893,0.731443186097462,0.45986805923449,0.711199501437763,0.608022415471202
"CHEMBL1738164",0.150670169092166,0.147641221802507,0.186490476043357,0.184801792317087,0.121081582949517,0.339071006331564,0.159152144884441,0.149674614008836,0.290529653760127,0.165648233652441,0.122723463781681,0.225180687330234,0.166640359473241,0.132135250232708,0.227714690377759
"CHEMBL3215228",0.273397143809001,0.110337827320894,0.0928182766593667,0.336653904922095,0.156385521857362,0.0848896073654336,0.168576082707601,0.111283266016228,0.13631183690309,0.188105340503406,0.111770988572617,0.119065258819501,0.287837154549988,0.244851021751478,0.10857767965299
"CHEMBL2114811",0.806417630845897,0.910527327718188,0.91980771856844,0.939483656369919,0.95372478126896,0.974330937307736,0.953319224936069,0.963198921447808,0.981305313080011,0.896944121456477,0.96124195602287,0.934040371580161,0.92092301335693,0.940751458833897,0.977328000912633
"CHEMBL1737942",0.73620506441464,0.792957341803541,0.722682969528636,0.716695699526029,0.81107114791525,0.760737185003137,0.795485100865404,0.833321482326046,0.76597616563457,0.75967784777221,0.755969254906815,0.719789732252915,0.798099699510103,0.846118449255699,0.765288389453027
"CHEMBL3215220",0.172691862245945,0.061489898989899,0.359327796591947,0.266461519308908,0.0450667282289378,0.370652503624401,0.167941192497539,0.0570547175428243,0.291314218010671,0.170715110641885,0.0653145859791168,0.380699149255469,0.120620835133073,0.13934331797235,0.30612647553824
"CHEMBL2114899",0.111409904680654,0.172864564121399,0.150356470552398,0.0767160248596857,0.167735177909375,0.220966713850492,0.0908846501730166,0.150651845680471,0.208005121716841,0.0722275112730176,0.128178542562345,0.196863947340228,0.124403271743089,0.151597934359711,0.235750906090462
