,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
24,CHEMBL176886,CHEMBL828697,297385,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,2697.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,CCOc1ccc2\C(=C/c3cccnc3)\CCc2c1
25,CHEMBL368305,CHEMBL828697,297426,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,763.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Cc1cccc2\C(=C\c3cccnc3)\CCc12
26,CHEMBL366490,CHEMBL828697,297444,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,774.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Fc1cccc2\C(=C\c3cccnc3)\CCc12
27,CHEMBL176287,CHEMBL828697,297482,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,304.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Clc1cccc2\C(=C\c3cccnc3)\CCc12
28,CHEMBL369623,CHEMBL828697,297483,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,657.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Clc1cccc2\C(=C/c3cccnc3)\CCc12
29,CHEMBL175791,CHEMBL828697,297300,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,955.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,COc1cccc2CC\C(=C/c3cccnc3)\c12
30,CHEMBL157101,CHEMBL828697,255904,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,224.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
31,CHEMBL9298,CHEMBL828697,4920,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,10.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,N#Cc1ccc(cc1)C2CCCc3cncn23
32,CHEMBL179149,CHEMBL828697,297323,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,931.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,C1Cc2ccccc2/C/1=C\c3ccncc3
33,CHEMBL360026,CHEMBL828697,297338,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,143.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,C1C\C(=C/c2ccncc2)\c3ccccc3C1
34,CHEMBL424960,CHEMBL828697,297344,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,1098.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Fc1ccc2\C(=C\c3ccncc3)\CCc2c1
35,CHEMBL179144,CHEMBL828697,297226,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,34.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Fc1ccc2\C(=C/c3ccncc3)\CCc2c1
36,CHEMBL175554,CHEMBL828697,297417,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,1515.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Clc1ccc2\C(=C\c3ccncc3)\CCc2c1
37,CHEMBL175799,CHEMBL828697,297424,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,301.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Clc1ccc2\C(=C/c3ccncc3)\CCc2c1
38,CHEMBL366773,CHEMBL828697,297442,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,2640.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Brc1ccc2\C(=C\c3ccncc3)\CCc2c1
39,CHEMBL179222,CHEMBL828697,297450,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,484.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Brc1ccc2\C(=C/c3ccncc3)\CCc2c1
40,CHEMBL363621,CHEMBL828697,324173,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,87.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,C1Cc2ccccc2/C/1=C\c3cccnc3
41,CHEMBL193606,CHEMBL828697,324211,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,715.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,C1C\C(=C/c2cccnc2)\c3ccccc3C1
42,CHEMBL365120,CHEMBL828697,323966,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,1424.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,C1C\C(=C\c2cccnc2)\c3ccccc3C1
43,CHEMBL193997,CHEMBL828697,324007,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,311.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Fc1ccc2\C(=C\c3cccnc3)\CCc2c1
44,CHEMBL383806,CHEMBL828697,323768,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,125.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Fc1ccc2\C(=C/c3cccnc3)\CCc2c1
45,CHEMBL383807,CHEMBL828697,323769,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,1472.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Clc1ccc2\C(=C\c3cccnc3)\CCc2c1
46,CHEMBL193652,CHEMBL828697,324076,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,270.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Clc1ccc2\C(=C/c3cccnc3)\CCc2c1
47,CHEMBL194440,CHEMBL828697,323903,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,1937.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Brc1ccc2\C(=C\c3cccnc3)\CCc2c1
48,CHEMBL195248,CHEMBL828697,324184,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,27.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Fc1ccc2\C(=C\c3cncnc3)\CCc2c1
49,CHEMBL370530,CHEMBL828697,324134,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,58.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Fc1ccc2\C(=C\c3cccc4cnccc34)\CCc2c1
50,CHEMBL363849,CHEMBL828697,324135,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,26.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,Fc1ccc2\C(=C/c3cccc4cnccc34)\CCc2c1
51,CHEMBL194047,CHEMBL828697,324008,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,96.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,C\C(=C/1\CCc2cc(F)ccc12)\c3cccnc3
52,CHEMBL364080,CHEMBL828697,324172,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,888.0,nM,IC50,,21546,76,PROTEIN,SINGLE PROTEIN,9,C1Cc2ccccc2/C/1=C/c3cccnc3
53,CHEMBL366772,CHEMBL828349,297441,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,21546,76,PROTEIN,SINGLE PROTEIN,9,COc1ccc2CC\C(=C/c3cccnc3)\c2c1
54,CHEMBL366669,CHEMBL828349,297354,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,21546,76,PROTEIN,SINGLE PROTEIN,9,COc1cc2CCC\C(=C/c3cccnc3)\c2cc1OC
