,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
657,CHEMBL3903480,CHEMBL3882753,2112851,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,,,,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,CCc1ccncc1C2=CC[C@H]3[C@@H]4CC[C@H]5CNC(=O)CC[C@]5(C)[C@H]4CC[C@]23C
658,CHEMBL3917652,CHEMBL3882753,2127023,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](CC[C@]34C)NC(=O)C5CC5)[C@@H]1CC=C2n6ccnc6
659,CHEMBL3905283,CHEMBL3882753,2114654,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,CN([C@H]1CC[C@@]2(C)C(CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CC=C4c5cncc(C)c5)C1)C(=O)C
660,CHEMBL3900011,CHEMBL3882753,2109382,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,CN1C(=O)C[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4c5cccnc5)[C@@H]3CC=C12
661,CHEMBL3898110,CHEMBL3882753,2107481,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@@]12CCC3CC(F)(F)CCC3[C@H]1CC[C@@]4(C)[C@H]2CC=C4n5ccnc5
662,CHEMBL3898681,CHEMBL3882753,2108052,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CC(O)CC1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CC=C4c5cncc(Cl)c5
663,CHEMBL3919907,CHEMBL3882753,2129278,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,CC1C[C@@H]2[C@H](CC[C@@]3(C)C2=CC=C3c4cncc(F)c4)[C@@]5(C)CCNC(=O)C=C15
664,CHEMBL3974227,CHEMBL3882753,2183598,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CC[C@H]3[C@@H](C4CC4C5=CC(=O)CC[C@]35C)[C@@H]1CC=C2c6cncc(F)c6
665,CHEMBL3959459,CHEMBL3882753,2168830,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@@]4(C)C3=CC=C4c5cncc(F)c5
666,CHEMBL3973698,CHEMBL3882753,2183069,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,COC(=O)c1cncn1C2=CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C
