,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
19,CHEMBL1689574,CHEMBL1693376,1078158,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,45.8,%,Inhibition,,56056,101472,PROTEIN,SINGLE PROTEIN,9,CCCCCC(=O)c1c(c2ccc(Cl)cc2)c(c3CC(C)(C)Cn13)c4ccccc4
20,CHEMBL1689573,CHEMBL1693376,1078157,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,45.8,%,Inhibition,,56056,101472,PROTEIN,SINGLE PROTEIN,9,CCC(=O)c1c(c2ccc(Cl)cc2)c(c3CC(C)(C)Cn13)c4ccccc4
21,CHEMBL118,CHEMBL2173198,18694,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,34.3,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F
22,CHEMBL1819480,CHEMBL2173198,1171688,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,106.1,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCC\C(=C/c1cc(OCCC2CCCCC2)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O
23,CHEMBL1819479,CHEMBL2173198,1171687,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,102.0,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCC\C(=C/c1cc(OCc2ccc(cc2)C(F)(F)F)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O
24,CHEMBL1819478,CHEMBL2173198,1171686,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,102.4,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCC\C(=C/c1cc(OCCc2ccc(cc2)C(F)(F)F)ccc1OCCc3ccc(cc3)C(F)(F)F)\C(=O)O
25,CHEMBL1819398,CHEMBL2173198,1171606,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,123.4,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCC\C(=C/c1cc(OCCC2CCCCC2)ccc1OCCC3CCCCC3)\C(=O)O
26,CHEMBL1819397,CHEMBL2173198,1171605,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,94.4,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCC\C(=C/c1cc(OCCc2ccccc2)ccc1OCCc3ccccc3)\C(=O)O
27,CHEMBL2170363,CHEMBL2173198,1429846,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,112.8,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCC\C(=C/c1cccc(OCCc2ccccc2)c1OCCc3ccccc3)\C(=O)O
28,CHEMBL1819396,CHEMBL2173198,1171604,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,66.5,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCCC(Cc1cc(OCCc2ccccc2)ccc1OCCc3ccccc3)C(=O)O
29,CHEMBL1819395,CHEMBL2173198,1171603,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,110.3,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCCC(Cc1ccc(OCCc2ccccc2)cc1OCCc3ccccc3)C(=O)O
30,CHEMBL1819394,CHEMBL2173198,1171602,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,86.4,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCCC(Cc1ccc(OCCc2ccccc2)c(OCCc3ccccc3)c1)C(=O)O
31,CHEMBL1819393,CHEMBL2173198,1171601,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,89.6,%,Activity,,65904,101472,PROTEIN,SINGLE PROTEIN,9,CCCCC(Cc1cccc(OCCc2ccccc2)c1OCCc3ccccc3)C(=O)O
