training set:,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,HDon_N,XlogP,TPSA,Dipole,NAtoms,2DACorr_SigChg_9,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_TotChg_1,2DACorr_TotChg_11,2DACorr_PiEN_8,2DACorr_PiEN_10
90,1.34,0.1549,0,3.98069,40.54,2.49836,49,-0.08816,-0.005474,0.0039737,0.512897,0.0334634,27.5195,207.501
91,0.11,0.312,2,2.79615,36.42,2.76159,23,0,-0.015453,0.0192747,0.57346,0,0,0
93,0.48,0.6618,0,5.55325,33.2,5.31863,46,0.0347448,0.0147129,-0.008934,0.573566,0.0200458,502.848,0
95,0.74,0.456,0,5.56443,42.55,7.25094,35,0.0380648,-0.022226,0.0471403,0.692668,0,713.55,39.8862
97,0.3,0.374,0,2.37783,9.23,2.44336,15,0,0,0,0.765403,0,0,0
100,0.63,0.2773,1,3.82442,45.15,5.88389,42,0.162954,-0.011669,0.0020094,0.960047,0.0190673,399.2,0
101,0.16,0.0346,0,2.5862,39.68,4.92153,51,0.231093,-0.001084,-0.002331,0.944708,0.240918,22.0583,50.9375
102,0.36,0.7607,1,4.61568,21.26,1.67271,40,-0.046656,-0.000712,-0.000806,0.516203,0.181164,273.577,199.74
103,-0.5975,-0.6853,1,-0.606968,78.87,5.65175,30,-0.038646,-0.102842,0.0628343,1.28824,0,81.4631,22.9804
106,-0.17,-0.3026,0,3.44306,63.64,5.29173,35,-0.028646,-0.107452,0.0507709,1.1368,-0.024133,0,13.946
109,-0.29,-0.1124,0,1.96923,63.91,3.86935,36,-0.168788,0.106309,-0.12786,1.1136,-0.017096,387.92,90.9235
111,-0.67,-0.8675,0,1.65367,82.17,5.17454,58,0.0913442,-0.099116,0.0616433,1.20998,0.244815,46.6218,358.535
113,0.2075,0.4055,1,5.41982,41.05,3.81619,50,-0.025554,-0.017247,0.0128841,0.606751,0.0067064,637.172,368.163
116,0.06,-0.0104,0,2.35408,78.49,3.38504,35,0.164516,-0.087674,0.137068,1.46869,0,945.389,65.8434
117,-0.1,-0.3709,0,2.04866,23.55,10.0999,26,0,-0.191751,0.0337421,0.702161,0,26.0296,0
118,0.176,0.0582,2,2.86907,59.14,2.41014,27,0.0178552,-0.005058,0.009253,0.430053,0.0839246,351.206,112.068
119,1.38,0.662,0,4.22166,6.48,1.98313,38,0.0254213,-0.001693,-0.002402,0.164551,0.0041277,9.04156,0
121,0.64,0.7676,2,4.88025,24.06,1.74136,40,0.0073764,-3.09E-05,-0.00504,0.158703,0.0038846,0,0
122,0.98,0.769,0,4.26535,6.48,1.4851,48,0.0477611,2.59E-05,-2.54E-05,0.194853,0.0053361,0,0
123,-0.4,-0.3164,0,0.321868,23.79,4.51425,7,0,-0.028763,0,0.376271,0,0,0
124,0.945,0.4909,1,2.16136,12.03,0.87602,26,0,-1.00E-06,0,0.11839,0,0,0
125,0.9067,0.7597,0,3.95206,6.48,1.54576,45,0.0407354,-0.00301,-0.00405,0.162274,0,125.476,0
126,1.1333,0.7177,1,3.70341,15.27,1.5067,42,0.0403157,-0.00301,-0.00405,0.169067,0,123.645,0
127,0.8887,0.9254,0,4.93148,3.24,0.771812,44,0.040832,8.39E-05,-5.08E-05,0.12609,0,130.565,0
128,0.56,0.8171,0,4.11878,3.24,0.730249,43,0.0029279,-2.55E-06,0,0.117444,0,0,0
130,0.65,0.3931,1,1.88205,12.03,1.18683,21,0,-0.000783,-0.002397,0.0847401,0,0,0
131,1.06,0.5984,2,3.3248,29.26,1.21276,39,0.0385721,-0.00301,-0.00405,0.176149,0,121.822,0
133,-0.04,-0.3404,0,0,31.5,1.01252,3,0,0,0,0.160208,0,0,0
134,-0.134,-0.142,0,0.22533,26.3,1.60495,11,0,0,0,0.408974,0,0,0
135,0.003,-0.0795,0,0.653219,26.3,1.66947,14,0,0,0,0.409835,0,0,0
