training set:,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,HDon_N,XlogP,TPSA,Dipole,NAtoms,2DACorr_SigChg_9,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_TotChg_1,2DACorr_TotChg_11,2DACorr_PiEN_8,2DACorr_PiEN_10
66,-1.34,-1.0874,0,1.99399,96.76,3.50921,42,0.179891,0.111373,-0.261127,1.18865,0.159216,531.049,160.511
67,-1.82,-1.6191,0,0.86045,116.99,4.11826,43,0.213906,0.111247,-0.260633,1.34672,-0.010382,572.311,193.494
74,0,0.0794,1,2.15016,49.41,3.69327,31,0.0253188,-0.000744,-0.026161,0.703768,0,382.985,0
82,0.0293,0.3698,0,4.94245,42.55,6.35423,35,0.0248845,-0.023305,0.050924,0.673881,0,563.725,39.7556
86,0.5,0.2877,1,2.78038,41.46,3.90896,30,0.0252716,-0.012365,0.0108953,0.642052,0,395.513,0
89,0.39,0.2487,0,2.76015,35.94,3.34019,53,-0.025664,3.85E-05,-4.03E-05,0.512055,0.0281813,229.764,126.353
92,0.11,0.1185,2,2.59204,36.42,4.58713,23,0,-0.023252,-0.009455,0.488108,0,0,0
94,0.44,0.0704,1,3.47875,61.69,6.22345,31,0.0244948,-0.011843,0.0079404,0.822384,0,554.593,0
96,0.57,0.2281,0,4.66028,43.07,9.15388,41,0.0402838,0.0324964,0.0006324,0.675977,0,515.062,39.7314
98,0.1333,0.238,0,2.21649,9.23,3.16389,13,0,0,0,0.421578,0,0,0
99,0.11,0.2977,0,1.94524,9.23,2.14124,12,0,0,0,0.665757,0,0,0
104,-0.301,0.2461,0,4.32646,40.46,3.66179,44,0.0554249,-0.000279,-0.000599,0.387251,0.217681,84.5215,43.4307
105,-0.05,-0.441,0,1.14566,23.55,10.5655,26,0,-0.17882,0.0337986,0.733065,0,33.1234,0
107,-0.24,-0.6324,0,1.31838,63.64,5.94266,20,0,-0.107428,0.0507616,1.12537,0,46.7221,0
108,-0.095,-0.186,0,2.28569,63.91,5.74158,36,-0.257223,0.105632,-0.12762,1.17856,-0.065114,437.283,177.863
110,-0.14,-0.2383,0,2.58552,63.91,5.69852,39,0.0307129,0.106208,-0.127714,1.18124,-0.008014,514.247,90.9238
112,-0.02,-0.5132,0,2.42552,61.94,6.21484,57,-0.011877,-0.101551,0.062267,1.04855,0.220827,46.5322,358.174
114,0.46,0.071,0,3.63935,43.86,2.65302,58,-0.054768,-0.016093,-0.021874,0.784935,0.127161,78.5349,269.988
115,0.26,-0.0113,1,3.49925,52.65,3.91743,55,-0.055111,-0.016104,-0.021901,0.787332,0.131762,78.5235,269.593
120,1.01,0.8038,0,5.41291,6.48,1.97977,44,0.0310852,-0.001693,-0.002402,0.171638,0.0121695,8.93889,0
129,0.99,0.706,0,3.47192,6.48,1.32225,40,0.0005126,-0.000713,-0.002104,0.181326,0,102.06,0
132,0.93,0.3542,2,1.78275,26.02,0.811175,23,0,-1.04E-06,0,0.125483,0,0,0
137,0.12,-0.0257,0,0.992802,26.3,1.65788,17,0,0,0,0.413171,0,0,0
139,0.277,0.049,0,1.54577,26.3,1.66713,20,0,0,0,0.415972,0,0,0
140,0.4,0.1245,0,2.09873,26.3,1.65796,23,0,0,0,0.418594,0,0,0
145,0.27,-0.0854,2,1.57374,52.32,3.06715,23,0.0124411,-0.01426,0.0122799,0.524076,0,0,0
147,0.42,0.0547,2,2.46628,52.32,3.06242,29,0.0125197,-0.014258,0.0122787,0.530216,0.0151373,0,0
149,0.6,-0.0776,0,2.3047,55.84,1.54859,43,0.0897193,-0.000494,0.0064457,0.952058,-0.00219,268.755,97.5611
154,0.17,0.2675,0,1.65926,9.23,1.72948,21,0,0,0,0.148504,0,0,0
156,-0.64,-0.152,1,4.41588,72.74,4.60184,68,0.0450479,-0.006126,0.0007798,1.02317,0.0686345,69.7589,255.441
159,0.4933,0.2675,0,3.19934,28.6,2.87938,44,0.0745443,-0.003582,-0.003334,0.482437,0.0177479,329.282,120.045
161,-1.3,-1.0299,2,1.28309,88.5,7.13472,53,-0.000428,-0.099886,-0.022207,1.35698,0.035232,506.757,534.291
164,-0.135,-0.0736,2,1.99231,57.28,3.34848,38,0.117133,0.0061964,-0.003941,0.444046,0.0189906,71.0225,0
166,0.28,0.0769,1,2.21082,41.49,3.54526,37,0.0338068,-0.000293,-0.000686,0.407097,0.0111785,36.0548,0
171,-0.24,0.0263,1,4.0779,41.57,1.89623,54,0.0408176,-0.004804,0.0041114,0.624136,-0.065683,265.659,416.171
176,-0.482,-0.6654,1,-0.743425,78.87,5.68329,28,-0.099928,-0.102736,0.063588,1.21999,0,94.5037,22.9981
180,-0.72,-0.9828,1,-1.30267,121.12,4.6049,32,-0.016773,-0.102843,-0.06568,3.72954,0.345447,520.288,220.726
181,-0.35,-0.1054,2,1.53889,58.86,5.05432,31,0,-0.02546,0.0242585,0.662744,0,90.0896,0
183,0.2933,-0.0421,0,1.08683,41.93,3.24755,43,-0.014205,-0.000814,-0.000552,0.538687,0,11.0024,0
187,-0.72,-1.1408,3,-1.88784,129,5.16978,34,0.0188413,-0.102843,-0.001071,1.96056,0.276381,379.509,143.489
188,0.52,0.2569,1,2.19443,41.49,1.20801,40,0,-0.000863,-0.00038,0.379565,0,100.701,0
192,-0.01,0.01,0,1.0096,17.07,2.78027,16,0,0,0,0.174062,0,0,0
195,-0.0467,0.1422,2,2.32094,46.33,4.13435,30,0,-0.033728,0.0215049,0.582542,0,90.3215,0
200,-0.0267,-0.249,0,-0.431527,58.44,4.64607,24,0,-0.069165,0.196267,1.14276,0,0.00E+00,0
202,0.091,-0.1742,1,1.17862,66.48,0.629811,33,0.0117435,-0.104461,0.0793492,1.14282,0,0,0
207,-0.118,-0.4638,0,1.08295,23.55,9.73324,26,0,-0.195112,0.0334148,0.712678,0,0,0
209,-0.2867,-0.2975,1,-0.571627,67.23,5.0081,21,0,-0.069378,0.196439,1.14082,0,0,0
210,0.13,-0.0943,2,2.05625,75.27,0.727695,34,0.0157332,-0.106732,0.0808106,1.13537,0,0,0
214,0.086,-0.2261,2,0.977335,75.27,0.72444,28,0,-0.106801,0.0808509,1.12936,0,0,0
215,0.188,-0.1667,2,1.5303,75.27,0.715122,31,0.0157348,-0.106801,0.0808508,1.13197,0,0,0
217,0.364,-0.0448,2,2.63623,75.27,0.715114,37,0.061525,-0.106801,0.0808508,1.13717,0.0345916,0,0
218,0.017,0.0497,2,3.18919,75.27,0.724436,40,0.0252608,-0.106801,0.0808508,1.13977,0.0024182,0,0
219,0.241,0.1675,2,3.74216,75.27,0.715131,43,0.0197666,-0.106801,0.0808508,1.14237,0.0715526,0,0
220,0.12,-0.0939,2,2.05625,75.27,0.719713,34,0.0157332,-0.106732,0.0808106,1.13537,0,0,0
222,-0.07,-0.1463,2,1.52636,58.2,4.3978,30,0,-0.019786,-8.40E-05,0.766336,0,0,0
229,-0.18,0.1775,0,3.64579,37.3,2.00442,33,-0.003288,0.0007309,-0.000655,0.449727,0,0.00E+00,0
231,-1.52,-2.1329,5,1.40537,210.54,4.88747,55,-0.020105,-0.030354,-0.033054,2.22845,0.198065,1006.06,879.767
235,-0.1408,-0.0756,0,0.382149,20.23,1.44384,12,0,0,0,0.152369,0,0.00E+00,0
237,0.07,0.042,0,1.13601,20.23,1.48878,18,0,0,0,0.155599,0,0.00E+00,0
238,0.845,0.6183,0,4.03443,23.47,1.11939,52,0.0321631,-5.62E-06,7.02E-06,0.277731,0.0068298,112.993,0
239,0.4,0.2154,0,2.97003,37.3,3.73505,51,0.0134109,0.0006406,-0.00032,0.362514,0.134586,81.7147,55.5171
240,-0.7433,-1.0733,2,2.9359,118.03,5.5331,92,0.133871,-0.003772,0.0003148,1.39923,0.201933,6.24E+02,844.112
241,-0.148,-0.141,0,-0.085495,20.23,1.40019,9,0,0,0,0.152207,0,0.00E+00,0
244,0.038,0.0453,0,1.11962,20.23,1.40214,18,0,0,0,0.160991,0,0,0
245,-0.1405,-0.0847,0,0.254088,20.23,1.41289,12,0,0,0,0.155377,0,0,0
247,0.203,0.0655,0,1.36002,20.23,1.4129,18,0,0,0,0.160772,0,0,0
249,-0.3067,0.1207,1,1.82807,52.57,2.60368,44,-0.020587,0.004531,-0.00137,0.581208,0.103056,23.9101,0
253,-0.32,-0.3647,1,0.4414,49.33,4.9166,20,0,-0.017335,0.0086578,0.475985,0,50.8473,0
256,-0.44,-0.6608,1,0.83283,86.63,2.68556,23,0.0353965,-0.008995,-0.037201,0.965838,0,301.945,0
262,-1.12,-0.7255,2,2.61058,90.02,6.9134,39,-0.028941,0.172844,-0.167089,1.15485,0.0311459,321.568,346.129
265,-0.66,-0.9057,1,1.57828,83.1,1.56148,33,0.044438,-0.032603,0.0270834,1.29648,0.388427,160.421,594.375
267,-1.06,-1.4356,2,1.4177,82.76,10.7335,56,0.330035,-0.153471,-0.133324,1.34844,0.156546,484.963,347.786
269,-1.23,-0.8555,2,1.30116,86.26,7.60392,43,0.0818087,0.0382905,-0.134608,1.23588,0.304068,188.295,255.886
273,0.75,0.8496,1,5.47224,15.27,1.12222,48,0.106601,-0.004257,-0.001164,0.195761,-0.000741,158.532,25.8826
275,-0.36,-0.3235,0,3.83078,23.55,40.088,52,0.0441021,-0.034756,0.163268,2.24327,-0.071716,618.918,136.414
276,1.1367,0.6757,0,4.24298,6.48,2.39724,40,0.0413016,-0.004619,-0.002893,0.165964,0,106.232,0
278,0.59,0.6365,1,3.99433,15.27,2.34847,37,0.0404705,-0.004619,-0.002893,0.172756,0,103.914,0
280,-0.1423,0.146,2,2.4764,58.2,1.58708,34,0.0030271,-0.147443,0.115766,0.990793,0,0,0
282,0.03,0.126,0,0,0,0,1.00E+00,0,0,0,0,0,0,0
283,0.9,0.69,0,4.21261,0,0.0132738,23,0,0,0,0.0213516,0,0,0
284,-0.16,0.126,0,0,0,0,1.00E+00,0,0,0,0,0,0,0
288,-0.12,0.126,0,0,0,0,1.00E+00,0,0,0,0,0,0,0
289,0.09,0.126,0,0,0,0,1.00E+00,0,0,0,0,0,0,0
294,0.347,0.5321,0,2.89366,0,0.0009982,18,0,6.43E-05,0,0.02078,0,0,0
295,0.388,0.5208,0,2.89366,0,0.266888,18,0,-6.11E-06,0,0.0208343,0,0,0
296,0.3127,0.4029,0,2.01934,0,0.0017746,12,0,0,0,0.0213748,0,0,0
299,0.45,0.5191,0,2.95441,0,0.0443442,16,0,-1.33E-05,5.24E-06,0.0291462,0,0,0
300,0.2285,0.5296,0,2.92617,0,0.138647,18,0,-1.06E-05,0,0.0237329,0,0,0
303,-0.13,0.1215,2,2.20533,38.91,3.30708,29,0,-0.01474,-0.012431,0.271688,0,0,0
308,-0.27,-0.4133,1,2.48698,86.59,2.46685,42,0.0082284,0.0103102,0.0176568,1.34298,0.0711,538.719,374.629
309,0.22,-0.1151,1,4.00612,50.53,1.42633,54,0.0623153,-0.008958,-0.001478,0.786606,-0.120471,243.795,394.231
312,0.78,0.1678,1,1.96211,30.87,3.78196,42,0.0408731,-0.064568,0.0069624,0.556663,0.0007494,64.6031,8.90285
316,-0.18,-0.3286,4,1.39808,77.29,4.52703,25,0.0613868,0.0068816,-0.068506,0.772178,0,216.348,47.581
317,-0.04,-0.5313,4,-0.318071,77.29,4.68916,18,0,0.0120095,-0.069984,0.749764,0,0,0
