,drug_type,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
28,GST_sub_20,4.0,4.0,3.0,1.0,0.0,5.0,0.0,5.0,4.0,4.0,18.0,14.0,0.0,0.0,0.0,16.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0,12.0,0.0,30.0,0.0,0.0,1.0,4.0,18.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
29,MET_ind_16,8.0,9.0,9.0,5.0,0.0,18.0,6.0,8.0,8.0,8.0,57.0,49.0,0.0,0.0,0.0,24.0,52.0,18.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,7.0,1.0,0.0,0.0,0.0,18.0,0.0,19.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,8.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0
30,MET_inh_38,6.0,32.0,30.0,6.0,4.0,25.0,1.0,17.0,10.0,10.0,41.0,31.0,0.0,0.0,0.0,50.0,28.0,10.0,1.0,11.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,15.0,0.0,18.0,8.0,0.0,1.0,0.0,40.0,0.0,42.0,0.0,0.0,0.0,7.0,34.0,0.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,5.0,0.0,2.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,15.0,12.0,0.0,0.0,4.0,0.0,2.0,0.0,5.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0
31,MET_sub_16,6.0,10.0,10.0,4.0,0.0,24.0,6.0,9.0,6.0,6.0,11.0,6.0,0.0,0.0,0.0,23.0,9.0,8.0,0.0,3.0,1.0,6.0,1.0,0.0,0.0,0.0,23.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NAT_ind_30,12.0,25.0,22.0,4.0,0.0,22.0,4.0,10.0,12.0,12.0,85.0,73.0,0.0,0.0,2.0,32.0,64.0,19.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,9.0,4.0,60.0,1.0,14.0,5.0,0.0,0.0,0.0,33.0,1.0,44.0,0.0,0.0,0.0,5.0,13.0,0.0,1.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
33,NAT_inh_31,9.0,15.0,12.0,3.0,2.0,12.0,4.0,5.0,11.0,11.0,48.0,37.0,2.0,0.0,2.0,32.0,22.0,6.0,0.0,10.0,2.0,4.0,1.0,0.0,0.0,2.0,5.0,21.0,0.0,7.0,4.0,0.0,0.0,0.0,33.0,0.0,34.0,0.0,0.0,0.0,11.0,22.0,1.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
34,NAT_sub_19,2.0,14.0,13.0,9.0,2.0,24.0,3.0,3.0,4.0,4.0,8.0,4.0,0.0,0.0,1.0,26.0,15.0,24.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,4.0,0.0,0.0,0.0,14.0,1.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,SUL_ind_15,10.0,22.0,17.0,2.0,0.0,11.0,4.0,8.0,10.0,10.0,86.0,76.0,0.0,0.0,0.0,10.0,65.0,14.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,21.0,63.0,0.0,3.0,1.0,0.0,0.0,0.0,16.0,0.0,49.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
36,SUL_inh_17,7.0,11.0,7.0,0.0,2.0,4.0,0.0,5.0,9.0,9.0,25.0,18.0,0.0,1.0,0.0,9.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,SUL_sub_25,4.0,34.0,32.0,4.0,2.0,12.0,1.0,16.0,6.0,6.0,23.0,17.0,0.0,0.0,0.0,14.0,14.0,7.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,9.0,0.0,6.0,2.0,0.0,0.0,0.0,29.0,0.0,51.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,UGT_ind_20,2.0,11.0,9.0,0.0,1.0,9.0,0.0,2.0,3.0,3.0,23.0,20.0,2.0,0.0,0.0,12.0,9.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,0.0,5.0,5.0,0.0,0.0,1.0,20.0,0.0,29.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,12.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0
39,UGT_inh_31,3.0,26.0,24.0,1.0,2.0,27.0,0.0,6.0,5.0,5.0,46.0,41.0,0.0,2.0,1.0,52.0,31.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,9.0,7.0,36.0,0.0,23.0,13.0,0.0,0.0,0.0,43.0,1.0,42.0,0.0,0.0,0.0,3.0,25.0,1.0,0.0,21.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,4.0
40,UGT_sub_66,11.0,35.0,30.0,2.0,8.0,58.0,6.0,22.0,19.0,19.0,58.0,39.0,0.0,1.0,2.0,93.0,26.0,6.0,1.0,6.0,10.0,6.0,0.0,0.0,2.0,6.0,3.0,26.0,1.0,26.0,25.0,1.0,0.0,0.0,94.0,1.0,70.0,0.0,0.0,1.0,5.0,48.0,0.0,0.0,24.0,2.0,0.0,6.0,1.0,0.0,0.0,8.0,7.0,1.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,17.0,0.0,0.0,9.0,3.0,4.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0
