,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
33,7138,CHEMBL266212,CHEMBL893811,391711,Homo sapiens,Homo sapiens,D,=,13300.0,nM,IC50,,36502,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
34,7139,CHEMBL244239,CHEMBL893811,391704,Homo sapiens,Homo sapiens,D,=,5820.0,nM,IC50,,36502,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
35,7140,CHEMBL244403,CHEMBL895109,387205,Homo sapiens,Homo sapiens,D,>,200000.0,nM,IC50,,36602,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
36,7141,CHEMBL541214,CHEMBL896136,388701,,Homo sapiens,H,>,500000.0,nM,IC50,,36667,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
37,7142,CHEMBL392760,CHEMBL900220,402468,,Homo sapiens,H,>,500000.0,nM,IC50,,37168,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
38,7143,CHEMBL235952,CHEMBL900200,403310,Homo sapiens,Homo sapiens,D,=,8900.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
39,7144,CHEMBL235256,CHEMBL900200,403350,Homo sapiens,Homo sapiens,D,<,400.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
40,7145,CHEMBL237248,CHEMBL900200,403324,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
41,7146,CHEMBL237247,CHEMBL900200,403322,Homo sapiens,Homo sapiens,D,=,9300.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
42,7147,CHEMBL237037,CHEMBL900200,403321,Homo sapiens,Homo sapiens,D,=,20300.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
43,7148,CHEMBL236163,CHEMBL900200,403316,Homo sapiens,Homo sapiens,D,=,19000.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
44,7149,CHEMBL236162,CHEMBL900200,403315,Homo sapiens,Homo sapiens,D,=,1200.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
45,7150,CHEMBL1630,CHEMBL949431,476314,Homo sapiens,Homo sapiens,D,=,2700.0,nM,IC50,,45429,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
46,7151,CHEMBL147587,CHEMBL949431,243564,Homo sapiens,Homo sapiens,D,=,13000.0,nM,IC50,,45429,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
47,7152,CHEMBL147806,CHEMBL949431,242691,Homo sapiens,Homo sapiens,D,=,23000.0,nM,IC50,,45429,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
48,7153,CHEMBL146826,CHEMBL949431,243644,Homo sapiens,Homo sapiens,D,=,23000.0,nM,IC50,,45429,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
49,7154,CHEMBL1235,CHEMBL949431,230459,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,45429,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
50,7155,CHEMBL468929,CHEMBL973343,479941,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,46696,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
51,7156,CHEMBL468929,CHEMBL973350,479941,Homo sapiens,Homo sapiens,D,,,,Activity,Active,46696,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
52,7157,CHEMBL466289,CHEMBL973350,480068,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,46696,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
53,7158,CHEMBL466289,CHEMBL973357,480068,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,46696,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
54,7159,CHEMBL466289,CHEMBL972439,480068,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,46696,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
55,7160,CHEMBL466289,CHEMBL972446,480068,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,46696,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
56,7161,CHEMBL520136,CHEMBL972422,520051,Homo sapiens,Homo sapiens,D,=,23000.0,nM,IC50,,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
57,7162,CHEMBL483160,CHEMBL972422,520115,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
58,7163,CHEMBL483352,CHEMBL972422,520116,Homo sapiens,Homo sapiens,D,=,5800.0,nM,IC50,,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
59,7164,CHEMBL483353,CHEMBL972422,520117,Homo sapiens,Homo sapiens,D,=,5900.0,nM,IC50,,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
60,7165,CHEMBL520299,CHEMBL972422,520118,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
61,7166,CHEMBL482768,CHEMBL972422,520119,Homo sapiens,Homo sapiens,D,=,11000.0,nM,IC50,,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
62,7167,CHEMBL521326,CHEMBL972422,520202,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
63,7168,CHEMBL520620,CHEMBL972422,520206,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
64,7169,CHEMBL482980,CHEMBL972422,520279,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
65,7170,CHEMBL485184,CHEMBL972422,520281,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
66,7171,CHEMBL485185,CHEMBL972422,520282,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
67,7172,CHEMBL485196,CHEMBL972422,520349,Homo sapiens,Homo sapiens,D,=,44000.0,nM,IC50,,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
68,7173,CHEMBL483139,CHEMBL972422,520350,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
69,7174,CHEMBL483140,CHEMBL972422,520351,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,46477,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
