,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
27,39342,CHEMBL308988,CHEMBL711654,118188,Canis lupus familiaris,Homo sapiens,H,=,0.044,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
28,39343,CHEMBL103473,CHEMBL710752,167062,Canis lupus familiaris,Homo sapiens,H,=,0.052000000000000005,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
29,39344,CHEMBL72734,CHEMBL710753,117286,Canis lupus familiaris,Homo sapiens,H,=,0.064,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
30,39345,CHEMBL30323,CHEMBL710755,43877,Canis lupus familiaris,Homo sapiens,H,=,50.0,%,Inhibition,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
31,39346,CHEMBL327367,CHEMBL710756,150973,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
32,39347,CHEMBL30323,CHEMBL710756,43877,Canis lupus familiaris,Homo sapiens,H,=,0.032,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
33,39348,CHEMBL31104,CHEMBL710756,43920,Canis lupus familiaris,Homo sapiens,H,=,0.059,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
34,39349,CHEMBL93268,CHEMBL710756,150941,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
35,39350,CHEMBL506,CHEMBL710756,10389,Canis lupus familiaris,Homo sapiens,H,=,0.056,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
36,39351,CHEMBL327367,CHEMBL710757,150973,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
37,39352,CHEMBL30323,CHEMBL710757,43877,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
38,39353,CHEMBL31104,CHEMBL710757,43920,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
39,39354,CHEMBL93268,CHEMBL710757,150941,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
40,39355,CHEMBL506,CHEMBL710757,10389,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
41,39356,CHEMBL30793,CHEMBL713562,43897,Canis lupus familiaris,Homo sapiens,H,=,0.057,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
42,39357,CHEMBL284191,CHEMBL713562,43753,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
43,39358,CHEMBL30414,CHEMBL713562,43921,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
44,39359,CHEMBL283599,CHEMBL713562,43503,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
45,39360,CHEMBL30438,CHEMBL713562,44076,Canis lupus familiaris,Homo sapiens,H,=,0.005,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
46,39361,CHEMBL419510,CHEMBL713562,150396,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
47,39362,CHEMBL31000,CHEMBL713562,43896,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
48,39363,CHEMBL418957,CHEMBL713562,150975,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
49,39364,CHEMBL93478,CHEMBL713562,150876,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
