,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
28,180179,CHEMBL3763181,CHEMBL3767761,2069101,Homo sapiens,Homo sapiens,D,=,7.2,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
29,180180,CHEMBL3763954,CHEMBL3767761,2069102,Homo sapiens,Homo sapiens,D,=,3.4,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
30,180181,CHEMBL3765245,CHEMBL3767761,2069103,Homo sapiens,Homo sapiens,D,=,5.6,10'6/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
31,180182,CHEMBL3764308,CHEMBL3767963,2069091,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
32,180183,CHEMBL3765007,CHEMBL3767963,2069092,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
33,180184,CHEMBL3764604,CHEMBL3767963,2069093,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
34,180185,CHEMBL3764977,CHEMBL3767963,2069094,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
35,180186,CHEMBL3765755,CHEMBL3767963,2069095,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
36,180187,CHEMBL3763851,CHEMBL3767963,2069096,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
37,180188,CHEMBL3765372,CHEMBL3767963,2069097,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
38,180189,CHEMBL3763580,CHEMBL3767963,2069098,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
39,180190,CHEMBL3763610,CHEMBL3767963,2069099,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
40,180191,CHEMBL3764106,CHEMBL3767963,2069100,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
41,180192,CHEMBL3763181,CHEMBL3767963,2069101,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
42,180193,CHEMBL3763954,CHEMBL3767963,2069102,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
43,180194,CHEMBL3765245,CHEMBL3767963,2069103,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
44,180195,CHEMBL3314716,CHEMBL3767227,1781439,Homo sapiens,Homo sapiens,D,,,,Activity,Active,98396,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
