,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
30,179984,CHEMBL151,CHEMBL2411718,47209,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
31,179985,CHEMBL151,CHEMBL2411719,47209,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
32,179986,CHEMBL151,CHEMBL2411720,47209,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
33,179987,CHEMBL247484,CHEMBL2411721,407499,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
34,179988,CHEMBL28,CHEMBL2411721,1564,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
35,179989,CHEMBL117,CHEMBL2411721,17853,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
36,179990,CHEMBL151,CHEMBL2411721,47209,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
37,179991,CHEMBL247484,CHEMBL2411722,407499,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
38,179992,CHEMBL28,CHEMBL2411722,1564,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
39,179993,CHEMBL117,CHEMBL2411722,17853,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
40,179994,CHEMBL151,CHEMBL2411722,47209,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
41,179995,CHEMBL247484,CHEMBL2411723,407499,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
42,179996,CHEMBL28,CHEMBL2411723,1564,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
