,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
633,42144,CHEMBL3983081,CHEMBL3882753,2192452,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
634,42145,CHEMBL3973535,CHEMBL3882753,2182906,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
635,42146,CHEMBL3948516,CHEMBL3882753,2157887,Homo sapiens,Homo sapiens,D,<,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
636,42147,CHEMBL3915053,CHEMBL3882753,2124424,Homo sapiens,Homo sapiens,D,<,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
637,42148,CHEMBL3896727,CHEMBL3882753,2106098,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
638,42149,CHEMBL3932433,CHEMBL3882753,2141804,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
639,42150,CHEMBL3932964,CHEMBL3882753,2142335,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
640,42151,CHEMBL3929321,CHEMBL3882753,2138692,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
641,42152,CHEMBL3889967,CHEMBL3882753,2099338,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
642,42153,CHEMBL3917384,CHEMBL3882753,2126755,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
643,42154,CHEMBL3975527,CHEMBL3882753,2184898,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
644,42155,CHEMBL3932301,CHEMBL3882753,2141672,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
645,42156,CHEMBL3962136,CHEMBL3882753,2171507,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
646,42157,CHEMBL3955294,CHEMBL3882753,2164665,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
647,42158,CHEMBL2311169,CHEMBL3882753,1510580,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
648,42159,CHEMBL3961947,CHEMBL3882753,2171318,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
649,42160,CHEMBL3908710,CHEMBL3882753,2118081,Homo sapiens,Homo sapiens,D,<,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
650,42161,CHEMBL3946740,CHEMBL3882753,2156111,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
651,42162,CHEMBL3899339,CHEMBL3882753,2108710,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
652,42163,CHEMBL3919452,CHEMBL3882753,2128823,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
653,42164,CHEMBL3951679,CHEMBL3882753,2161050,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
654,42165,CHEMBL3938556,CHEMBL3882753,2147927,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
655,42166,CHEMBL3925112,CHEMBL3882753,2134483,Homo sapiens,Homo sapiens,D,<,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
656,42167,CHEMBL3934768,CHEMBL3882753,2144139,Homo sapiens,Homo sapiens,D,<,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
657,42168,CHEMBL3948945,CHEMBL3882753,2158316,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
658,42169,CHEMBL3920119,CHEMBL3882753,2129490,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
659,42170,CHEMBL3891132,CHEMBL3882753,2100503,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
660,42171,CHEMBL3893728,CHEMBL3882753,2103099,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
661,42172,CHEMBL3903480,CHEMBL3882753,2112851,Homo sapiens,Homo sapiens,D,,,,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
662,42173,CHEMBL3917652,CHEMBL3882753,2127023,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
663,42174,CHEMBL3905283,CHEMBL3882753,2114654,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
