,drug_name,drug_type,Smiles
0,Milchsäure,Substrate,C[C@@H](O)C(O)=O
1,Testosterone,Inhibitor,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
