,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
19,CHEMBL76518,CHEMBL712898,118103,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.064,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,CCCCCCCCNC(=O)c1cnc2ccc(cc2c1O)[N+](=O)[O-]
20,CHEMBL308711,CHEMBL712898,118161,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.064,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,Oc1c(cnc2ccc(F)cc12)C(=O)NC3CCCCC3
21,CHEMBL101249,CHEMBL712898,167140,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.064,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,CN1CCN(CC1)C(=O)c2cnc3cc(Cl)c(F)cc3c2O
22,CHEMBL103935,CHEMBL712898,167145,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.064,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,Oc1c(cnc2cc(Cl)c(F)cc12)C(=O)NC3CCCCC3
23,CHEMBL101021,CHEMBL712898,166540,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.064,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,CN1CCN(CC1)C(=O)c2cnc3ccc(cc3c2O)[N+](=O)[O-]
24,CHEMBL74241,CHEMBL712898,118189,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.064,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,CCN(CC)CCCC(C)NC(=O)c1cnc2ccc(cc2c1O)[N+](=O)[O-]
25,CHEMBL76276,CHEMBL712899,117237,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.055,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,CCCCCCCCNC(=O)c1cnc2ccc(F)cc2c1O
26,CHEMBL102294,CHEMBL711654,166470,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.047,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,CCCCCCCCNC(=O)c1cnc2cc(Cl)c(F)cc2c1O
27,CHEMBL308988,CHEMBL711654,118188,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.044,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,CCN(CC)CCCC(C)NC(=O)c1cnc2cc(Cl)c(F)cc2c1O
28,CHEMBL103473,CHEMBL710752,167062,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.052,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,CCN(CC)CCCC(C)NC(=O)c1cnc2ccc(F)cc2c1O
29,CHEMBL72734,CHEMBL710753,117286,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.064,,Activity,,3093,11511,PROTEIN,SINGLE PROTEIN,8,Oc1c(cnc2ccc(cc12)[N+](=O)[O-])C(=O)NC3CCCCC3
30,CHEMBL30323,CHEMBL710755,43877,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,50.0,%,Inhibition,,2328,11511,PROTEIN,SINGLE PROTEIN,8,[O-][N+](=O)c1ccc(NNc2ccnc3cc(Cl)ccc23)cc1
31,CHEMBL327367,CHEMBL710756,150973,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,CC(=O)c1ccc(Nc2ccnc3cc(Cl)c(cc23)[N+](=O)[O-])c(c1)[N+](=O)[O-]
32,CHEMBL30323,CHEMBL710756,43877,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.032,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,[O-][N+](=O)c1ccc(NNc2ccnc3cc(Cl)ccc23)cc1
33,CHEMBL31104,CHEMBL710756,43920,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.059,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,[O-][N+](=O)c1ccc(OCCNc2ccnc3cc(Cl)ccc23)cc1
34,CHEMBL93268,CHEMBL710756,150941,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,[Na+].[O-]N=O
35,CHEMBL506,CHEMBL710756,10389,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.056,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,COc1cc(NC(C)CCCN)c2ncccc2c1
36,CHEMBL327367,CHEMBL710757,150973,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,CC(=O)c1ccc(Nc2ccnc3cc(Cl)c(cc23)[N+](=O)[O-])c(c1)[N+](=O)[O-]
37,CHEMBL30323,CHEMBL710757,43877,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,[O-][N+](=O)c1ccc(NNc2ccnc3cc(Cl)ccc23)cc1
38,CHEMBL31104,CHEMBL710757,43920,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,[O-][N+](=O)c1ccc(OCCNc2ccnc3cc(Cl)ccc23)cc1
39,CHEMBL93268,CHEMBL710757,150941,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.065,,Methemoglobin,,2328,11511,PROTEIN,SINGLE PROTEIN,8,[Na+].[O-]N=O
