,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
16,CHEMBL1927154,CHEMBL1931063,1268108,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,780.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.COc1ccc(CN2CCCN3C(=O)C=C4NN(C(=O)C4=C3C2)c5ccccc5Cl)cc1
17,CHEMBL1927155,CHEMBL1931063,1268109,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1020.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccccc1N2NC3=CC(=O)N4CCCN(Cc5cocc5)CC4=C3C2=O
18,CHEMBL1927156,CHEMBL1931063,1268110,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1370.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccccc1N2NC3=CC(=O)N4CCCN(Cc5cccnc5)CC4=C3C2=O
19,CHEMBL1927157,CHEMBL1931063,1268111,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1140.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccccc1N2NC3=CC(=O)N4CCCN(Cc5ccccn5)CC4=C3C2=O
20,CHEMBL1927158,CHEMBL1931063,1268112,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,510.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.COc1ccccc1N2NC3=CC(=O)N4CCCN(Cc5ccccn5)CC4=C3C2=O
21,CHEMBL1927159,CHEMBL1931063,1268113,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,820.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.COc1cccc(CN2CCCN3C(=O)C=C4NN(C(=O)C4=C3C2)c5ccccc5OC)c1
22,CHEMBL1927160,CHEMBL1931063,1268114,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,433.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Clc1ccccc1N2NC3=CC(=O)N4CCOCC4=C3C2=O
23,CHEMBL247484,CHEMBL2411713,407499,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3cc(O)c(O)c(O)c3
24,CHEMBL151,CHEMBL2411713,47209,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
25,CHEMBL151,CHEMBL2411715,47209,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
26,CHEMBL247484,CHEMBL2411717,407499,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3cc(O)c(O)c(O)c3
27,CHEMBL28,CHEMBL2411717,1564,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2
28,CHEMBL117,CHEMBL2411717,17853,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3
29,CHEMBL151,CHEMBL2411717,47209,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
30,CHEMBL151,CHEMBL2411718,47209,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
31,CHEMBL151,CHEMBL2411719,47209,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
32,CHEMBL151,CHEMBL2411720,47209,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
33,CHEMBL247484,CHEMBL2411721,407499,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3cc(O)c(O)c(O)c3
34,CHEMBL28,CHEMBL2411721,1564,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2
35,CHEMBL117,CHEMBL2411721,17853,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3
36,CHEMBL151,CHEMBL2411721,47209,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
37,CHEMBL247484,CHEMBL2411722,407499,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3cc(O)c(O)c(O)c3
38,CHEMBL28,CHEMBL2411722,1564,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2
39,CHEMBL117,CHEMBL2411722,17853,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3
40,CHEMBL151,CHEMBL2411722,47209,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
41,CHEMBL247484,CHEMBL2411723,407499,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3cc(O)c(O)c(O)c3
42,CHEMBL28,CHEMBL2411723,1564,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2
43,CHEMBL117,CHEMBL2411723,17853,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3
44,CHEMBL151,CHEMBL2411723,47209,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3
45,CHEMBL3347491,CHEMBL3391325,1796922,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@@H]1N[C@H]2CC(C)(C)[C@@H]1c3c(Br)cccc23
46,CHEMBL3347584,CHEMBL3391326,1797016,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(=O)(=O)c4ccc(F)cc4
47,CHEMBL3347583,CHEMBL3391326,1797015,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(=O)(=O)C
48,CHEMBL3347567,CHEMBL3391326,1796998,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CCCCCN1[C@@H](CC(=C)C)[C@H]2c3c(cccc3c4ccc(Cl)c(Cl)c4)[C@@H]1CC2(C)C
49,CHEMBL3347566,CHEMBL3391326,1796997,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(cccc3c4ccc(Cl)c(Cl)c4)[C@H](CC2(C)C)N1Cc5ccc6OCOc6c5
