,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
80,3A4_inh,rdkDes,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.014,18558,14846,3712,0,5364,1341,0,0.775,805,2072,299,536,0.493,0.794,0.8740000000000001,0.8320000000000001,0.737,0.7290000000000001,0.6,0.6579999999999999,0.737,0.835,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,3A4_inh,fcfp6,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",0.705,18558,14846,3712,0,5364,1341,0,0.7809999999999999,893,2005,366,448,0.518,0.8170000000000001,0.846,0.831,0.7559999999999999,0.7090000000000001,0.6659999999999999,0.687,0.7559999999999999,0.927,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,3A4_inh,lfcfp6,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",16.451,18558,14846,3712,0,5364,1341,0,0.7859999999999999,892,2026,345,449,0.529,0.8190000000000001,0.8540000000000001,0.836,0.76,0.721,0.665,0.6920000000000001,0.76,1.133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,2C9_inh,fcfp6,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.014,14706,11764,2942,0,3981,996,0,0.772,507,1764,182,489,0.449,0.7829999999999999,0.906,0.84,0.708,0.736,0.509,0.602,0.708,0.7440000000000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,2C9_inh,ecfp0,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.017,14706,11764,2942,0,3981,996,0,0.7340000000000001,507,1651,295,489,0.375,0.7709999999999999,0.848,0.8079999999999999,0.679,0.632,0.509,0.564,0.679,1.108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,2C19_inh,lecfp6,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",9.48,14572,11657,2915,0,4831,1208,0,0.795,911,1406,301,297,0.578,0.826,0.8240000000000001,0.825,0.789,0.752,0.754,0.753,0.789,1.115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,3A4_inh,fcfp4,XGBClassifier_default,"{'base_score': [0.5], 'booster': ['gbtree'], 'colsample_bylevel': [1], 'colsample_bynode': [1], 'colsample_bytree': [1], 'gamma': [0], 'learning_rate': [0.1], 'max_delta_step': [0], 'max_depth': [3], 'min_child_weight': [1], 'missing': [None], 'n_estimators': [100], 'n_jobs': [1], 'nthread': [None], 'objective': ['binary:logistic'], 'random_state': [42], 'reg_alpha': [0], 'reg_lambda': [1], 'scale_pos_weight': [1], 'seed': [None], 'silent': [None], 'subsample': [1], 'verbosity': [1]}",0.38,18558,14846,3712,0,5364,1341,0,0.782,754,2149,222,587,0.498,0.785,0.906,0.8420000000000001,0.7340000000000001,0.773,0.562,0.6509999999999999,0.7340000000000001,0.478,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,3A4_inh,ecfp4,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.021,18558,14846,3712,0,5364,1341,0,0.78,742,2153,218,599,0.4920000000000001,0.782,0.908,0.841,0.731,0.773,0.5529999999999999,0.645,0.731,0.911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,2C19_inh,maccs,XGBClassifier_default,"{'base_score': [0.5], 'booster': ['gbtree'], 'colsample_bylevel': [1], 'colsample_bynode': [1], 'colsample_bytree': [1], 'gamma': [0], 'learning_rate': [0.1], 'max_delta_step': [0], 'max_depth': [3], 'min_child_weight': [1], 'missing': [None], 'n_estimators': [100], 'n_jobs': [1], 'nthread': [None], 'objective': ['binary:logistic'], 'random_state': [42], 'reg_alpha': [0], 'reg_lambda': [1], 'scale_pos_weight': [1], 'seed': [None], 'silent': [None], 'subsample': [1], 'verbosity': [1]}",0.054000000000000006,14572,11657,2915,0,4831,1208,0,0.7659999999999999,835,1398,309,373,0.514,0.789,0.8190000000000001,0.804,0.755,0.73,0.691,0.71,0.755,0.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,3A4_inh,maccs,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.006999999999999999,18558,14846,3712,0,5364,1341,0,0.753,767,2028,343,574,0.444,0.779,0.855,0.816,0.7140000000000001,0.691,0.5720000000000001,0.626,0.7140000000000001,1.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
